ANSYS Price to Free Cash Flow Ratio Historical Data,ANSYS Price to Free Cash Flow Ratio Historical Data,ANSYS Price to Free Cash Flow Ratio Historical Data,ANSYS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,325.35,,40.09
2024-03-31,347.16,$8.11,42.78
2023-12-31,362.88,$7.92,45.84
2023-09-30,297.55,$7.23,41.13
2023-06-30,330.27,$6.84,48.25
2023-03-31,332.8,$7.49,44.42
2022-12-31,241.59,$6.93,34.84
2022-09-30,221.7,$6.16,36.01
2022-06-30,239.29,$6.47,37.0
2022-03-31,317.65,$6.43,49.37
2021-12-31,401.12,$5.98,67.13
2021-09-30,340.45,$6.73,50.56
2021-06-30,347.06,$6.02,57.64
2021-03-31,339.56,$6.15,55.26
2020-12-31,363.8,$5.87,62.03
2020-09-30,327.23,$5.40,60.64
2020-06-30,291.73,$5.70,51.19
2020-03-31,232.47,$5.21,44.62
2019-12-31,257.41,$5.30,48.61
2019-09-30,221.36,$5.34,41.46
2019-06-30,204.82,$5.25,39.02
2019-03-31,182.71,$5.58,32.74
2018-12-31,142.94,$5.39,26.51
2018-09-30,186.68,$5.06,36.93
2018-06-30,174.18,$4.80,36.26
2018-03-31,156.69,$4.81,32.58
2017-12-31,147.59,$4.70,31.38
2017-09-30,122.73,$6.38,19.24
2017-06-30,121.68,$6.63,18.36
2017-03-31,106.87,$6.60,16.2
2016-12-31,92.49,$6.02,15.37
2016-03-31,89.46,$3.93,22.77
2015-12-31,92.5,$3.93,23.54
2015-09-30,88.14,$3.60,24.47
2015-06-30,91.24,$2.80,32.61
2015-03-31,88.19,$2.90,30.43
2014-12-31,82.0,$2.47,33.18
2016-09-30,92.61,$2.92,31.76
2014-09-30,75.67,$3.64,20.77
2014-06-30,75.82,$3.34,22.72
2014-03-31,77.02,$2.71,28.42
2013-12-31,87.2,$2.24,38.98
2013-09-30,86.52,$2.46,35.24
2016-06-30,90.75,$2.64,34.4
2013-06-30,73.1,$3.20,22.83
2013-03-31,81.42,$0.82,98.8
2012-12-31,67.34,$0.59,114.72
2012-09-30,73.4,$0.57,129.18
2012-06-30,63.11,$0.65,96.68
2011-12-31,57.28,$3.03,18.93
2011-09-30,49.04,$1.98,24.8
2011-06-30,54.67,$2.06,26.59
2011-03-31,54.19,$1.88,28.84
2010-12-31,52.07,$1.64,31.8
2010-09-30,42.25,$2.43,17.39
2010-06-30,40.57,$2.05,19.78
2010-03-31,43.19,$1.60,27.04
2009-12-31,43.46,$1.80,24.12
2009-09-30,37.42,$1.86,20.17
