Cintas Price to Free Cash Flow Ratio Historical Data,Cintas Price to Free Cash Flow Ratio Historical Data,Cintas Price to Free Cash Flow Ratio Historical Data,Cintas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,708.51,,47.93
2024-02-29,627.38,$14.78,42.44
2023-11-30,550.95,$12.80,43.03
2023-08-31,500.84,$12.27,40.82
2023-05-31,467.74,$12.25,38.17
2023-02-28,433.33,$12.45,34.81
2022-11-30,455.19,$12.44,36.6
2022-08-31,400.0,$3.05,131.24
2022-05-31,390.6,$4.69,83.34
2022-02-28,367.11,$3.15,116.67
2021-11-30,411.89,$1.94,211.79
2021-05-31,343.33,$11.60,29.61
2021-02-28,314.31,$15.63,20.1
2020-11-30,343.56,$14.81,23.19
2020-08-31,318.92,$15.57,20.48
2020-05-31,237.31,$15.11,15.71
2021-08-31,385.28,$9.21,41.85
2020-02-29,255.28,$10.02,25.47
2019-11-30,246.02,$5.10,48.27
2019-08-31,250.03,$5.02,49.84
2019-05-31,210.25,$5.01,41.97
2019-02-28,195.82,$2.51,77.95
2018-05-31,170.81,$6.31,27.09
2018-02-28,159.94,$6.89,23.22
2017-11-30,147.55,$4.34,34.01
2017-08-31,125.14,$4.96,25.24
2017-05-31,116.68,$3.81,30.59
2018-11-30,177.6,$1.88,94.29
2017-02-28,109.38,$3.37,32.45
2016-11-30,106.22,$2.20,48.2
2016-08-31,107.52,$2.47,43.54
2016-05-31,86.74,$2.32,37.46
2016-02-29,76.85,$2.12,36.26
2018-08-31,199.97,$3.45,57.89
2015-11-30,83.81,$2.87,29.18
2015-08-31,76.88,$0.02,4631.62
2015-05-31,77.88,$0.84,92.66
2015-02-28,75.52,$0.62,122.04
2014-11-30,66.17,$1.15,57.73
2014-05-31,54.87,$3.78,14.5
2014-02-28,53.58,$4.43,12.11
2013-11-30,49.02,$4.06,12.07
2013-08-31,41.59,$3.95,10.53
2013-05-31,39.76,$4.24,9.39
2014-08-31,58.42,$2.43,24.05
2013-02-28,38.23,$2.66,14.35
2012-11-30,36.08,$3.31,10.89
2012-08-31,34.66,$2.75,12.59
2012-05-31,31.64,$3.00,10.53
2012-02-29,33.06,$2.40,13.79
2011-08-31,26.93,$1.26,21.43
2011-05-31,27.67,$1.08,25.62
2011-02-28,23.68,$1.13,20.88
2010-11-30,22.53,$1.51,14.93
2010-08-31,21.09,$2.10,10.03
2010-05-31,21.52,$2.97,7.24
2010-02-28,20.51,$3.31,6.19
2009-11-30,22.8,$3.25,7.03
2009-08-31,22.27,$3.16,7.04
