Coca-Cola Europacific Partners Price to Free Cash Flow Ratio Historical Data,Coca-Cola Europacific Partners Price to Free Cash Flow Ratio Historical Data,Coca-Cola Europacific Partners Price to Free Cash Flow Ratio Historical Data,Coca-Cola Europacific Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,74.86,,25.56
2018-12-31,40.2,$2.93,13.73
2018-09-30,39.6,$1.00,39.44
2017-09-30,35.18,$1.91,18.4
2017-06-30,34.18,0,0.0
2016-12-31,26.23,$0.36,73.39
2016-09-30,33.33,$3.51,9.48
2016-03-31,32.92,$2.60,12.67
2015-12-31,31.95,$2.69,11.86
2015-09-30,31.37,$3.49,8.98
2015-06-30,28.18,$3.12,9.04
2015-03-31,28.68,$2.97,9.65
2014-12-31,28.69,$2.69,10.68
2014-09-30,28.78,$2.05,14.07
2014-06-30,31.0,$2.25,13.76
2014-03-31,30.99,$2.14,14.45
2013-12-31,28.63,$1.92,14.92
2013-09-30,25.96,$3.53,7.36
2013-06-30,22.59,$1.93,11.72
2013-03-31,23.59,$2.97,7.95
2012-12-31,20.16,$4.07,4.95
2018-03-31,35.74,$1.29,27.6
2012-09-30,19.76,$1.75,11.3
2012-06-30,17.63,$1.92,9.19
2012-03-31,17.87,$0.85,21.02
2011-12-31,16.02,$1.50,10.69
2011-09-30,15.38,$1.24,12.42
2011-03-31,16.71,$-0.22,0.0
2010-12-31,15.26,0,0.0
2010-09-30,12.93,$-0.23,0.0
2010-06-30,10.75,0,0.0
2010-03-31,11.46,$-0.26,0.0
2009-12-31,8.75,$0.17,52.1
2011-06-30,17.95,$0.23,79.2
2009-09-30,8.8,$0.99,8.92
