T-Mobile US Price to Free Cash Flow Ratio Historical Data,T-Mobile US Price to Free Cash Flow Ratio Historical Data,T-Mobile US Price to Free Cash Flow Ratio Historical Data,T-Mobile US Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,176.73,,20.78
2024-03-31,162.62,$8.51,19.12
2023-12-31,159.1,$7.30,21.81
2023-09-30,138.38,$5.44,25.46
2023-06-30,137.24,$3.55,38.67
2023-03-31,143.11,$2.73,52.48
2022-12-31,138.33,$2.24,61.78
2022-09-30,132.57,$1.53,86.59
2022-06-30,132.94,$1.36,97.84
2022-03-31,126.82,$1.26,100.97
2021-12-31,114.6,$1.27,90.38
2021-09-30,126.24,$0.79,160.14
2021-06-30,143.1,$0.02,6814.46
2021-03-31,123.8,$-1.53,0.0
2020-12-31,133.24,$-2.07,0.0
2020-09-30,113.0,$-1.21,0.0
2020-06-30,102.91,$-0.60,0.0
2020-03-31,82.9,$2.26,36.72
2019-12-31,77.49,$2.16,35.95
2019-09-30,77.83,$1.19,65.25
2019-06-30,73.26,$0.48,152.36
2018-12-31,62.85,$-1.91,0.0
2018-09-30,69.34,$-2.64,0.0
2018-06-30,59.04,$-2.74,0.0
2018-03-31,60.31,$-2.52,0.0
2017-12-31,62.75,$-2.10,0.0
2019-03-31,68.28,$-2.18,0.0
2017-09-30,60.93,$-4.69,0.0
2017-06-30,59.9,$-3.77,0.0
2017-03-31,63.82,$-3.01,0.0
2016-12-31,56.82,$-2.31,0.0
2016-09-30,46.16,$1.80,25.59
2016-06-30,42.75,$1.61,26.6
2016-03-31,37.84,$1.09,34.79
2015-12-31,38.65,$0.84,46.08
2015-09-30,39.34,$-0.06,0.0
2015-06-30,38.31,$-0.65,0.0
2015-03-31,31.31,$-0.59,0.0
2014-12-31,26.62,$-0.21,0.0
2014-09-30,28.53,$-0.16,0.0
2014-06-30,33.22,$-0.28,0.0
2014-03-31,32.64,$-0.63,0.0
2013-12-31,33.24,$-0.71,0.0
2013-09-30,25.66,$-0.26,0.0
2013-06-30,24.51,$0.10,247.87
2013-03-31,14.45,$1.65,8.78
2012-12-31,13.18,$1.88,7.01
2012-09-30,15.53,$14.17,1.1
2012-06-30,8.02,$13.89,0.58
2012-03-31,11.96,$13.04,0.92
2011-12-31,11.51,$12.80,0.9
2011-09-30,11.55,$0.18,64.85
2011-06-30,22.82,$1.37,16.64
2011-03-31,21.53,$0.53,40.65
2010-12-31,16.75,$1.35,12.37
2010-09-30,13.87,$0.57,24.37
2010-06-30,10.86,$0.12,92.74
2010-03-31,9.39,$0.68,13.79
2009-12-31,10.12,$0.22,45.15
