PDD Holdings Price to Free Cash Flow Ratio Historical Data,PDD Holdings Price to Free Cash Flow Ratio Historical Data,PDD Holdings Price to Free Cash Flow Ratio Historical Data,PDD Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,143.86,,13.23
2024-03-31,116.25,$10.87,10.69
2023-12-31,146.31,$9.03,16.21
2023-09-30,98.07,$8.03,12.21
2023-06-30,69.14,$6.08,11.37
2023-03-31,75.9,$5.96,12.74
2022-12-31,81.55,$4.82,16.92
2022-09-30,62.58,$3.59,17.43
2022-06-30,61.8,$3.48,17.75
2022-03-31,40.11,$2.25,17.82
2021-12-31,58.3,$2.80,20.81
2021-09-30,90.67,$3.28,27.63
2021-06-30,127.02,$3.82,33.27
2021-03-31,133.88,$3.23,41.42
2020-12-31,177.67,$3.62,49.09
2020-09-30,74.15,$2.89,25.62
2018-09-30,26.29,$1.71,15.4
2020-03-31,36.03,$1.97,18.29
2019-12-31,37.82,$1.84,20.59
2019-09-30,32.22,$1.56,20.62
2019-06-30,20.63,$1.84,11.19
