Biogen Price to Free Cash Flow Ratio Historical Data,Biogen Price to Free Cash Flow Ratio Historical Data,Biogen Price to Free Cash Flow Ratio Historical Data,Biogen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,224.0,,23.52
2024-03-31,215.63,$9.52,22.64
2023-12-31,258.77,$8.72,29.66
2023-09-30,257.01,$7.23,35.53
2023-06-30,284.85,$11.86,24.02
2023-03-31,278.03,$13.80,20.15
2022-12-31,276.92,$11.83,23.42
2022-09-30,267.0,$18.87,14.15
2022-06-30,203.94,$15.90,12.83
2022-03-31,210.6,$18.87,11.16
2021-12-31,239.92,$22.61,10.61
2021-09-30,282.99,$13.97,20.26
2021-06-30,346.27,$16.15,21.44
2021-03-31,279.75,$20.42,13.7
2020-12-31,244.86,$23.59,10.38
2020-09-30,283.68,$36.52,7.77
2020-06-30,267.55,$38.34,6.98
2020-03-31,316.38,$35.88,8.82
2019-12-31,296.73,$35.03,8.47
2019-09-30,232.82,$33.42,6.97
2019-06-30,233.87,$32.23,7.26
2019-03-31,236.38,$27.19,8.69
2018-12-31,300.92,$26.39,11.4
2018-09-30,353.31,$24.54,14.4
2018-06-30,290.24,$23.09,12.57
2018-03-31,273.82,$23.14,11.83
2017-12-31,318.57,$17.29,18.42
2017-09-30,313.12,$17.74,17.65
2017-06-30,271.36,$14.87,18.25
2017-03-31,273.42,$14.21,19.24
2016-12-31,261.39,$18.15,14.4
2016-09-30,288.53,$16.35,17.65
2016-06-30,222.89,$15.56,14.32
2016-03-31,239.95,$15.53,15.45
2015-12-31,282.37,$14.17,19.93
2015-09-30,268.35,$13.01,20.62
2015-06-30,372.33,$13.66,27.25
2015-03-31,389.19,$13.67,28.46
2014-12-31,312.88,$11.19,27.96
2014-09-30,304.92,$11.03,27.64
2014-06-30,290.63,$9.92,29.3
2014-03-31,281.93,$8.41,33.53
2013-12-31,257.69,$8.81,29.26
2013-09-30,221.92,$7.29,30.46
2013-06-30,198.36,$5.79,34.24
2013-03-31,177.54,$7.39,24.02
2012-12-31,134.91,$8.43,16.0
2012-09-30,137.53,$8.75,15.72
2012-03-31,116.14,$9.29,12.51
2011-12-31,101.44,$6.20,16.36
2011-09-30,85.86,$7.32,11.72
2011-06-30,98.55,$3.72,26.5
2011-03-31,67.72,$4.00,16.92
2010-12-31,61.8,$4.60,13.43
2012-06-30,133.08,$2.92,45.57
2010-09-30,51.73,$5.20,9.95
2010-06-30,43.74,$4.16,10.5
2010-03-31,52.9,$3.33,15.9
2009-12-31,49.31,$3.14,15.7
