CoStar Price to Free Cash Flow Ratio Historical Data,CoStar Price to Free Cash Flow Ratio Historical Data,CoStar Price to Free Cash Flow Ratio Historical Data,CoStar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,73.94,,12121.31
2024-03-31,96.6,$0.01,0.0
2023-12-31,87.39,$0.85,102.56
2023-09-30,76.89,$1.13,68.04
2023-06-30,89.0,$1.24,72.03
2023-03-31,68.85,$1.00,68.98
2022-12-31,77.28,$1.04,74.08
2022-09-30,69.65,$0.84,83.34
2022-06-30,60.41,$0.91,66.48
2022-03-31,66.61,$1.13,58.9
2021-12-31,79.03,$0.71,110.7
2021-09-30,86.06,$0.79,109.02
2021-06-30,82.82,$0.73,113.5
2021-03-31,82.19,$0.69,119.6
2020-12-31,92.43,$1.14,80.92
2020-09-30,84.85,$1.08,78.28
2020-06-30,71.07,$1.15,61.78
2020-03-31,58.72,$1.08,54.3
2019-12-31,59.83,$1.12,53.25
2019-09-30,59.32,$1.13,52.54
2019-06-30,55.41,$1.15,48.03
2019-03-31,46.64,$1.04,44.75
2018-12-31,33.73,$0.84,40.2
2018-09-30,42.08,$0.73,57.37
2018-06-30,41.26,$0.66,62.74
2018-03-31,36.27,$0.62,58.11
2017-12-31,29.7,$0.63,47.41
2017-09-30,26.83,$0.58,46.52
2017-06-30,26.36,$0.57,46.34
2017-03-31,20.72,$0.60,34.39
2016-12-31,18.85,$0.56,33.62
2016-09-30,21.65,$0.62,35.0
2016-06-30,21.87,$0.54,40.2
2016-03-31,18.82,$0.41,46.19
2015-12-31,20.67,$0.33,63.07
2015-09-30,17.31,$0.28,62.63
2015-06-30,20.13,$0.30,67.06
2015-03-31,19.78,$0.48,41.64
2014-12-31,18.36,$0.38,48.31
2014-09-30,15.55,$0.35,44.7
2014-06-30,15.82,$0.31,51.24
2014-03-31,18.67,$0.26,72.6
2013-12-31,18.46,$0.32,58.34
2013-09-30,16.79,$0.30,56.82
2013-06-30,12.91,$0.29,44.82
2013-03-31,10.95,$0.27,40.04
2012-12-31,8.94,$0.26,33.79
2012-09-30,8.15,$0.20,41.54
2012-06-30,8.12,$0.12,66.23
2012-03-31,6.91,$0.06,118.24
2011-12-31,6.67,$0.05,122.89
2011-09-30,5.2,$0.07,76.2
2011-06-30,5.93,$0.06,95.46
2011-03-31,6.27,$0.10,60.97
2010-12-31,5.76,$-0.09,0.0
2010-09-30,4.87,$-0.11,0.0
2010-06-30,3.88,$-0.06,0.0
2010-03-31,4.15,$-0.08,0.0
2009-12-31,4.18,$0.15,28.67
