Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,179.63,,35.15
2024-03-31,150.76,$5.11,29.5
2023-12-31,139.53,$5.11,27.3
2023-09-30,130.71,$5.67,23.07
2023-06-30,119.56,$5.15,23.19
2023-03-31,103.61,$4.45,23.27
2022-12-31,88.13,$4.27,20.63
2022-09-30,95.54,$4.42,21.6
2022-06-30,108.84,$4.56,23.87
2022-03-31,138.91,$2.79,49.82
2021-12-31,144.69,$2.88,50.21
2021-09-30,133.52,$2.40,55.66
2021-06-30,121.95,$1.68,72.52
2020-12-31,87.53,$2.92,29.96
2020-09-30,73.2,$2.91,25.12
2020-06-30,70.82,$3.04,23.33
2020-03-31,58.03,$4.21,13.78
2019-12-31,66.89,$4.28,15.64
2021-03-31,103.01,$3.61,28.55
2019-09-30,60.99,$3.09,19.76
2019-06-30,54.08,$1.85,29.22
2019-03-31,58.78,$1.72,34.1
2018-12-31,52.19,$1.52,34.29
2018-09-30,60.29,$1.52,39.68
2018-06-30,56.4,$1.41,39.86
2018-03-31,51.8,$1.41,36.72
2017-12-31,52.61,$1.59,33.04
2017-09-30,48.63,$1.62,29.94
2017-06-30,46.43,$1.70,27.3
2017-03-31,42.34,$1.87,22.68
2016-12-31,39.58,$1.74,22.7
2016-09-30,40.16,$1.62,24.73
2016-06-30,35.14,$1.37,25.57
2016-03-31,38.1,$1.21,31.44
2015-12-31,38.86,$1.12,34.74
2015-09-30,31.82,$1.05,30.35
2015-06-30,26.97,$1.04,25.99
2015-03-31,27.7,$0.30,91.76
2014-12-31,26.5,$0.20,132.51
2014-09-30,29.39,$0.17,171.95
2014-06-30,29.2,$0.16,184.23
2013-12-31,28.07,$0.77,36.61
2013-09-30,21.94,$1.47,14.95
2013-06-30,22.05,$1.41,15.62
2013-03-31,19.89,$1.42,14.05
2012-12-31,17.72,$1.50,11.83
2014-03-31,27.92,$0.88,31.85
2012-09-30,18.9,$0.95,19.79
2012-06-30,14.53,$0.97,14.95
2012-03-31,16.06,$0.91,17.67
2011-12-31,16.18,$0.85,19.03
2011-09-30,12.9,$0.70,18.51
2011-06-30,12.68,$0.61,20.65
2011-03-31,14.7,$0.54,27.25
2010-12-31,14.88,$0.55,27.24
2010-09-30,13.17,$0.67,19.7
2010-06-30,11.15,$0.70,15.9
2010-03-31,14.21,$0.69,20.56
2009-12-31,15.53,$0.67,23.33
