Walgreens Price to Free Cash Flow Ratio Historical Data,Walgreens Price to Free Cash Flow Ratio Historical Data,Walgreens Price to Free Cash Flow Ratio Historical Data,Walgreens Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,15.97,,0.0
2024-02-29,20.97,$-0.25,0.0
2023-11-30,19.44,$1.46,13.36
2023-08-31,24.11,$2.21,10.91
2023-05-31,28.41,$1.42,20.04
2023-02-28,32.74,$3.19,10.28
2022-11-30,37.74,$3.37,11.19
2022-08-31,31.51,$4.01,7.86
2022-05-31,38.91,$5.14,7.58
2022-02-28,40.44,$5.20,7.78
2021-11-30,38.91,$5.63,6.91
2021-08-31,43.66,$5.81,7.52
2021-05-31,44.85,$6.65,6.74
2021-02-28,40.47,$5.78,7.0
2020-11-30,31.79,$5.72,5.56
2020-08-31,31.42,$5.49,5.72
2020-05-31,35.08,$5.48,6.41
2020-02-29,36.96,$6.17,5.99
2019-11-30,47.72,$5.15,9.27
2019-08-31,40.68,$4.22,9.65
2019-05-31,38.87,$4.61,8.44
2019-02-28,55.61,$4.81,11.56
2018-11-30,65.74,$6.30,10.43
2018-08-31,52.95,$6.93,7.64
2018-05-31,47.88,$5.97,8.02
2018-02-28,52.55,$5.32,9.87
2017-11-30,55.18,$5.97,9.25
2017-08-31,61.46,$5.89,10.44
2017-05-31,60.8,$6.44,9.45
2017-02-28,64.54,$6.86,9.41
2016-11-30,63.02,$6.16,10.23
2016-08-31,59.76,$6.03,9.91
2016-05-31,57.05,$5.25,10.87
2016-02-29,57.92,$5.16,11.23
2015-11-30,61.37,$4.38,14.0
2015-08-31,62.93,$5.01,12.56
2015-05-31,62.17,$4.82,12.91
2015-02-28,59.94,$4.43,13.54
2014-11-30,49.29,$4.23,11.65
2014-08-31,43.26,$2.96,14.63
2014-05-31,51.12,$2.85,17.97
2014-02-28,48.09,$2.75,17.5
2013-11-30,41.67,$2.84,14.7
2013-08-31,33.66,$3.35,10.03
2013-05-31,33.23,$2.72,12.23
2013-02-28,28.32,$1.92,14.73
2012-11-30,23.31,$0.75,30.98
2012-08-31,24.38,$1.57,15.54
2012-05-31,20.65,$2.01,10.3
2011-08-31,23.33,$2.63,8.88
2011-05-31,28.73,$4.31,6.66
2011-02-28,28.43,$2.40,11.86
2010-11-30,22.76,$2.46,9.26
2010-08-31,17.47,$1.89,9.23
2012-02-29,22.27,$1.25,17.83
2010-05-31,20.7,$2.50,8.27
2010-02-28,22.67,$2.78,8.16
2009-11-30,24.92,$2.63,9.47
2009-08-31,21.64,$2.20,9.82
