Trade Desk Price to Free Cash Flow Ratio Historical Data,Trade Desk Price to Free Cash Flow Ratio Historical Data,Trade Desk Price to Free Cash Flow Ratio Historical Data,Trade Desk Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,97.71,,89.96
2024-03-31,87.42,$1.09,80.49
2023-12-31,71.96,$1.09,66.25
2023-09-30,78.15,$1.20,65.04
2023-06-30,77.22,$1.05,73.61
2023-03-31,60.91,$0.99,61.74
2022-12-31,44.83,$0.91,49.06
2022-09-30,59.75,$0.97,61.55
2022-06-30,41.89,$0.97,43.34
2022-03-31,69.25,$0.80,86.8
2021-12-31,91.64,$0.64,143.43
2021-09-30,70.3,$0.64,109.42
2021-06-30,77.36,$0.57,136.1
2021-03-31,65.17,$0.72,90.98
2020-12-31,80.1,$0.66,120.76
2020-09-30,51.88,$0.27,194.37
2020-06-30,40.65,$0.21,189.78
2020-03-31,19.3,$0.11,182.77
2019-12-31,25.98,$0.04,633.61
2019-09-30,18.76,$0.21,87.76
2019-06-30,22.78,$0.18,127.68
2019-03-31,19.8,$0.12,167.33
2018-12-31,11.61,$0.13,86.55
2018-09-30,15.09,$0.10,149.56
2018-06-30,9.38,$0.09,99.26
2018-03-31,4.96,$0.12,40.11
2017-12-31,4.57,$0.04,111.0
2017-09-30,6.15,$0.15,39.92
2017-06-30,5.01,$0.31,15.99
