General Mills Price to Free Cash Flow Ratio Historical Data,General Mills Price to Free Cash Flow Ratio Historical Data,General Mills Price to Free Cash Flow Ratio Historical Data,General Mills Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,72.29,,16.56
2024-05-31,68.1,$4.36,15.6
2024-02-29,63.04,$4.09,15.42
2023-11-30,61.96,$3.92,15.81
2023-08-31,65.24,$3.39,19.27
2023-05-31,80.52,$3.48,23.16
2023-02-28,75.6,$4.22,17.91
2022-11-30,80.59,$4.03,20.0
2022-08-31,72.04,$4.55,15.84
2022-05-31,65.06,$4.49,14.49
2022-02-28,62.35,$4.02,15.5
2021-11-30,56.69,$4.10,13.82
2021-08-31,52.62,$3.64,14.45
2021-05-31,56.73,$3.96,14.32
2021-02-28,49.23,$5.17,9.53
2020-11-30,53.96,$5.06,10.66
2020-08-31,56.27,$2.23,25.27
2020-05-31,55.04,$2.48,22.17
2020-02-29,42.41,$1.18,36.02
2019-11-30,45.72,$1.30,35.15
2019-05-31,41.63,$3.77,11.04
2019-02-28,39.31,$5.73,6.86
2018-11-30,34.86,$5.70,6.12
2018-08-31,37.49,$5.34,7.02
2018-05-31,34.08,$5.96,5.71
2019-08-31,45.72,$3.81,12.01
2018-02-28,40.3,$3.88,10.38
2017-11-30,44.72,$1.82,24.55
2017-08-31,41.71,$1.43,29.24
2017-05-31,44.04,$1.49,29.54
2017-02-28,46.47,$1.54,30.13
2016-05-31,47.27,$3.33,14.18
2016-02-29,43.99,$3.99,11.02
2015-11-30,42.83,$2.64,16.22
2015-08-31,41.76,$2.55,16.36
2015-05-31,40.99,$2.69,15.25
2016-11-30,46.54,$1.27,36.69
2015-02-28,38.96,$2.61,14.91
2014-11-30,37.92,$2.66,14.25
2014-08-31,38.06,$2.81,13.54
2014-05-31,38.87,$2.92,13.32
2014-02-28,35.12,$2.92,12.02
2013-11-30,35.13,$3.06,11.48
2013-08-31,34.08,$3.38,10.08
2013-05-31,32.28,$3.51,9.2
2013-02-28,31.5,$3.38,9.31
2012-11-30,27.7,$2.85,9.72
2012-08-31,26.36,$2.66,9.91
2012-05-31,25.44,$2.60,9.78
2012-02-29,25.26,$2.83,8.91
2011-11-30,26.14,$2.67,9.77
2011-08-31,24.61,$2.57,9.59
2011-05-31,25.61,$2.52,10.17
2016-08-31,53.68,$1.61,33.33
2011-02-28,23.73,$1.92,12.33
2010-11-30,22.4,$1.74,12.89
2010-08-31,22.75,$2.17,10.47
2010-05-31,22.24,$2.33,9.53
2010-02-28,22.33,$2.36,9.45
2009-11-30,20.94,$2.93,7.15
