J M Smucker Price to Free Cash Flow Ratio Historical Data,J M Smucker Price to Free Cash Flow Ratio Historical Data,J M Smucker Price to Free Cash Flow Ratio Historical Data,J M Smucker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,114.68,,18.59
2024-04-30,112.78,$6.17,18.28
2024-01-31,128.09,$6.09,21.04
2023-10-31,109.8,$7.92,13.87
2023-07-31,144.22,$8.61,16.76
2023-04-30,146.87,$6.75,21.75
2023-01-31,144.33,$5.98,24.13
2022-10-31,141.33,$4.81,29.4
2022-07-31,123.18,$4.82,25.56
2022-04-30,126.6,$6.66,19.0
2022-01-31,129.02,$6.25,20.66
2021-10-31,111.89,$7.07,15.83
2021-07-31,118.51,$8.95,13.24
2021-04-30,117.62,$11.23,10.47
2021-01-31,103.71,$11.46,9.05
2020-10-31,99.2,$11.76,8.44
2020-07-31,95.93,$10.31,9.31
2020-04-30,100.04,$8.69,11.51
2020-01-31,89.47,$8.44,10.6
2019-10-31,90.49,$7.28,12.43
2019-07-31,94.48,$6.97,13.56
2019-04-30,103.5,$6.91,14.98
2019-01-31,87.78,$7.13,12.31
2018-10-31,89.99,$9.94,9.05
2018-07-31,91.62,$9.30,9.85
2018-04-30,93.42,$8.67,10.78
2018-01-31,103.23,$8.91,11.59
2024-07-31,116.89,$4.98,23.46
2017-10-31,85.62,$7.69,11.14
2017-07-31,97.8,$7.95,12.3
2017-04-30,101.06,$7.50,13.47
2017-01-31,107.75,$8.21,13.13
2016-10-31,103.56,$9.23,11.23
2016-07-31,121.0,$10.11,11.96
2016-04-30,99.15,$10.62,9.34
2016-01-31,99.68,$9.41,10.59
2015-10-31,90.66,$8.98,10.09
2015-07-31,85.73,$7.48,11.46
2015-04-30,88.49,$4.79,18.46
2015-01-31,78.29,$4.89,16.01
2014-10-31,78.44,$4.57,17.18
2014-07-31,74.68,$4.67,15.98
2014-04-30,72.04,$5.67,12.7
2014-01-31,71.38,$5.28,13.53
2013-10-31,81.92,$4.46,18.39
2013-07-31,82.46,$5.30,15.56
2013-04-30,75.28,$6.05,12.45
2013-01-31,64.26,$6.68,9.62
2012-10-31,61.72,$7.18,8.6
2012-07-31,54.97,$6.41,8.58
2012-04-30,56.64,$4.10,13.8
2012-01-31,55.7,$1.84,30.24
2011-10-31,54.12,$1.55,34.9
2011-07-31,54.39,$1.20,45.49
2011-04-30,52.09,$1.86,28.08
2011-01-31,42.84,$4.00,10.72
2010-10-31,44.02,$3.70,11.9
2010-07-31,41.78,$4.88,8.56
2010-04-30,41.25,$4.89,8.44
2010-01-31,40.34,$5.51,7.32
2009-10-31,35.18,$4.79,7.34
