News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,28.33,,69.49
2024-06-30,27.57,$0.41,67.62
2024-03-31,26.18,$0.94,27.88
2023-12-31,24.46,$0.34,70.91
2023-06-30,19.33,$1.09,17.76
2023-03-31,17.12,$2.41,7.11
2022-12-31,17.93,$1.37,13.09
2022-09-30,14.89,$2.06,7.22
2022-06-30,15.26,$2.72,5.62
2023-09-30,19.98,$0.89,22.39
2022-03-31,21.69,$1.27,17.03
2021-12-31,21.75,$1.31,16.61
2021-09-30,22.94,$1.30,17.64
2021-06-30,25.01,$1.47,17.04
2021-03-31,24.68,$1.82,13.56
2020-12-31,17.37,$1.23,14.12
2020-09-30,13.55,$0.90,15.07
2020-06-30,11.39,$0.64,17.72
2020-03-31,8.62,$0.50,17.16
2019-12-31,13.46,$0.51,26.55
2019-09-30,13.25,$0.67,19.87
2019-06-30,12.75,$0.78,16.33
2019-03-31,11.76,$0.72,16.31
2018-12-31,10.73,$0.97,11.06
2018-09-30,12.47,$0.99,12.59
2018-06-30,14.53,$0.91,15.95
2018-03-31,14.82,$1.08,13.73
2017-12-31,15.11,$1.11,13.56
2017-09-30,12.36,$-0.38,0.0
2017-06-30,12.67,$0.28,45.68
2017-03-31,12.03,$0.10,126.18
2016-12-31,10.52,$-0.22,0.0
2016-06-30,10.34,$1.14,9.08
2016-03-31,11.63,$2.32,5.02
2015-12-31,12.06,$1.60,7.53
2015-09-30,11.4,$1.75,6.52
2015-06-30,13.07,$2.07,6.32
2016-09-30,12.83,$0.76,16.82
2015-03-31,14.35,$1.63,8.82
2014-12-31,14.06,$2.23,6.31
2014-09-30,14.65,$1.92,7.63
2014-06-30,16.07,$2.60,6.18
2014-03-31,15.43,$2.87,5.38
