PPG Industries Price to Free Cash Flow Ratio Historical Data,PPG Industries Price to Free Cash Flow Ratio Historical Data,PPG Industries Price to Free Cash Flow Ratio Historical Data,PPG Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,129.73,,21.23
2024-06-30,125.17,$6.11,20.48
2024-03-31,143.38,$6.82,21.04
2023-12-31,147.31,$8.00,18.41
2023-09-30,127.2,$6.72,18.94
2023-06-30,144.66,$5.16,28.03
2023-03-31,129.72,$4.31,30.09
2022-12-31,121.52,$2.37,51.31
2022-09-30,106.4,$2.00,53.18
2022-06-30,109.37,$2.15,50.98
2022-03-31,124.8,$3.51,35.54
2021-12-31,163.54,$5.17,31.62
2021-09-30,135.13,$7.19,18.79
2021-06-30,159.85,$8.54,18.72
2021-03-31,141.05,$8.07,17.48
2020-12-31,134.85,$7.68,17.57
2020-09-30,113.71,$6.79,16.76
2020-06-30,98.32,$6.50,15.12
2020-03-31,77.08,$1.87,41.21
2019-12-31,122.55,$5.19,23.62
2019-09-30,108.37,$4.34,24.99
2019-06-30,106.25,$2.67,39.8
2018-12-31,92.27,$4.30,21.44
2018-09-30,98.07,$3.30,29.71
2018-06-30,92.81,$3.54,26.23
2018-03-31,99.43,$3.69,26.96
2017-12-31,103.68,$4.69,22.13
2017-09-30,96.06,$4.81,19.97
2017-06-30,96.79,$5.39,17.96
2017-03-31,92.15,$3.39,27.19
2016-12-31,82.78,$3.63,22.8
2016-09-30,89.91,$4.72,19.05
2016-06-30,90.25,$4.71,19.16
2016-03-31,96.26,$7.21,13.36
2015-12-31,85.0,$5.35,15.87
2015-09-30,75.16,$3.47,21.67
2015-06-30,97.99,$2.93,33.42
2015-03-31,96.17,$1.42,67.89
2014-12-31,98.29,$3.45,28.51
2014-09-30,83.38,$3.54,23.56
2014-06-30,88.77,$3.88,22.86
2014-03-31,81.44,$5.20,15.67
2013-12-31,79.58,$4.47,17.81
2013-09-30,69.86,$5.44,12.83
2013-06-30,61.0,$4.82,12.67
2013-03-31,55.58,$4.28,12.99
2012-12-31,55.92,$4.70,11.91
2012-09-30,47.21,$4.66,10.14
2012-06-30,43.4,$5.19,8.35
2012-03-31,38.96,$3.55,10.97
2011-12-31,33.74,$4.67,7.22
2011-09-30,28.38,$2.23,12.72
2019-03-31,102.32,$1.36,75.49
2011-06-30,36.18,$2.70,13.42
2011-03-31,37.7,$2.79,13.5
2010-12-31,33.08,$3.12,10.6
2010-09-30,28.45,$3.29,8.65
2010-06-30,23.42,$4.26,5.5
2010-03-31,25.15,$4.24,5.94
2009-12-31,22.32,$3.47,6.43
