Lamb Weston Price to Free Cash Flow Ratio Historical Data,Lamb Weston Price to Free Cash Flow Ratio Historical Data,Lamb Weston Price to Free Cash Flow Ratio Historical Data,Lamb Weston Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,61.92,,0.0
2024-05-31,87.74,$-0.21,0.0
2024-02-29,101.14,$-2.51,0.0
2023-11-30,98.64,$-1.26,0.0
2023-05-31,109.03,$0.18,616.0
2023-02-28,98.43,$-0.55,0.0
2022-11-30,84.75,$0.89,95.07
2022-08-31,77.34,$0.49,158.15
2022-05-31,65.52,$-0.16,0.0
2023-08-31,95.77,$-0.16,0.0
2022-02-28,64.15,$0.46,138.98
2021-11-30,49.95,$1.25,39.93
2021-08-31,62.42,$1.73,36.0
2021-05-31,78.74,$2.65,29.75
2021-02-28,75.92,$2.38,31.91
2020-11-30,68.68,$2.67,25.72
2020-08-31,59.44,$2.68,22.15
2020-05-31,56.59,$2.49,22.77
2020-02-29,81.53,$2.93,27.87
2019-11-30,78.61,$2.96,26.56
2019-08-31,65.72,$2.66,24.72
2019-05-31,55.15,$2.34,23.62
2019-02-28,64.32,$1.80,35.65
2018-11-30,70.98,$1.99,35.71
2018-08-31,62.41,$1.88,33.24
2018-05-31,58.69,$1.19,49.47
2018-02-28,49.65,$1.46,34.13
2017-11-30,49.74,$1.03,48.3
2017-08-31,41.46,$1.35,30.61
