Exelon Price to Free Cash Flow Ratio Historical Data,Exelon Price to Free Cash Flow Ratio Historical Data,Exelon Price to Free Cash Flow Ratio Historical Data,Exelon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,38.09,,0.0
2024-06-30,34.26,$-1.77,0.0
2024-03-31,36.82,$-2.06,0.0
2023-12-31,34.81,$-2.69,0.0
2023-09-30,36.31,$-3.51,0.0
2023-06-30,38.79,$-3.97,0.0
2023-03-31,39.55,$-3.57,0.0
2022-12-31,40.46,$-2.29,0.0
2022-09-30,34.75,$-4.16,0.0
2022-06-30,41.74,$-2.21,0.0
2022-03-31,43.55,$-1.52,0.0
2021-12-31,37.34,$-4.18,0.0
2021-09-30,31.04,$-3.54,0.0
2021-06-30,28.22,$-4.96,0.0
2021-03-31,27.62,$-5.68,0.0
2020-12-31,26.41,$-3.86,0.0
2020-09-30,22.17,$-2.12,0.0
2020-06-30,22.27,$-1.03,0.0
2020-03-31,22.36,$-0.71,0.0
2019-12-31,27.48,$-0.59,0.0
2019-09-30,28.88,$0.03,916.86
2019-06-30,28.43,$0.34,82.62
2019-03-31,29.51,$0.64,45.98
2018-12-31,26.35,$1.18,22.38
2018-09-30,25.31,$1.08,23.44
2018-06-30,24.5,$1.07,22.98
2018-03-31,22.25,$0.79,28.02
2017-12-31,22.27,$0.12,183.73
2017-09-30,21.12,$-0.81,0.0
2017-06-30,20.05,$-0.94,0.0
2017-03-31,19.81,$-0.23,0.0
2016-12-31,19.36,$-0.03,0.0
2016-09-30,17.97,$0.87,20.63
2016-06-30,19.45,$-0.48,0.0
2016-03-31,19.01,$-0.46,0.0
2015-12-31,14.57,$0.16,93.6
2015-09-30,15.42,$-1.68,0.0
2015-06-30,16.16,$-0.29,0.0
2015-03-31,17.13,$-0.85,0.0
2014-12-31,18.72,$-1.88,0.0
2014-09-30,17.07,$0.69,24.57
2014-06-30,18.09,$0.48,38.0
2014-03-31,16.49,$0.59,27.99
2013-12-31,13.32,$1.10,12.08
2013-09-30,14.25,$1.02,14.02
2013-06-30,14.7,$0.77,19.15
2013-03-31,16.27,$0.89,18.22
2012-12-31,13.8,$0.87,15.85
2012-09-30,16.22,$1.78,9.1
2012-06-30,16.92,$2.58,6.55
2012-03-31,17.46,$2.55,6.84
2011-12-31,18.99,$1.22,15.57
2011-09-30,18.44,$0.20,91.84
2011-06-30,18.31,$0.24,75.28
2011-03-31,17.41,$-0.64,0.0
2010-12-31,17.36,$2.89,6.0
2010-09-30,17.52,$3.28,5.34
2010-06-30,15.43,$3.02,5.11
2010-03-31,17.58,$3.87,4.54
2009-12-31,19.38,$4.26,4.55
