Deere Price to Free Cash Flow Ratio Historical Data,Deere Price to Free Cash Flow Ratio Historical Data,Deere Price to Free Cash Flow Ratio Historical Data,Deere Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,385.74,,11.19
2024-04-30,389.88,$34.46,11.31
2024-01-31,390.63,$31.74,12.31
2023-10-31,361.3,$30.90,11.69
2023-07-31,423.33,$25.97,16.3
2023-04-30,371.35,$26.68,13.92
2023-01-31,414.1,$14.91,27.76
2022-10-31,386.55,$30.03,12.87
2022-07-31,334.04,$25.04,13.34
2022-01-31,364.08,$19.83,18.36
2021-10-31,330.1,$28.57,11.55
2021-07-31,347.65,$47.17,7.37
2021-04-30,355.63,$19.42,18.31
2021-01-31,276.28,$24.20,11.42
2020-10-31,215.5,$27.79,7.75
2022-04-30,366.12,$-3.48,0.0
2020-07-31,167.61,$24.84,6.75
2020-04-30,137.22,$19.80,6.93
2020-01-31,149.21,$16.06,9.29
2019-10-31,163.14,$12.29,13.27
2019-07-31,154.48,$10.31,14.99
2019-04-30,153.75,$6.25,24.59
2019-01-31,151.51,$5.98,25.33
2018-10-31,124.47,$7.36,16.91
2018-07-31,132.46,$4.59,28.89
2018-04-30,123.2,$5.76,21.38
2018-01-31,150.9,$7.54,20.02
2017-10-31,120.03,$9.41,12.76
2017-07-31,115.32,$12.41,9.3
2017-04-30,99.85,$14.71,6.79
2017-01-31,95.24,$14.17,6.72
2016-10-31,78.11,$13.84,5.64
2016-07-31,68.25,$13.61,5.01
2016-04-30,73.33,$12.30,5.96
2016-01-31,66.65,$0.52,127.67
2015-10-31,66.98,$9.93,6.74
2015-07-31,80.56,$6.36,12.67
2015-04-30,76.63,$2.14,35.89
2014-10-31,71.45,$9.75,7.33
2014-07-31,70.58,$11.41,6.18
2014-04-30,76.89,$5.93,12.96
2014-01-31,70.4,$10.05,7.0
2013-10-31,66.65,$12.33,5.41
2015-01-31,71.63,$-0.06,0.0
2013-07-31,67.24,$6.27,10.72
2013-04-30,71.84,$2.69,26.74
2013-01-31,75.23,$1.44,52.25
2012-10-31,67.97,$1.61,42.12
2012-07-31,60.77,$0.08,754.91
2012-04-30,64.77,$2.31,28.01
2012-01-31,67.37,$3.65,18.43
2011-10-31,59.04,$4.62,12.77
2011-07-31,60.7,$3.58,16.96
2011-04-30,75.0,$2.29,32.81
2011-01-31,69.67,$3.60,19.34
2010-10-31,58.61,$5.00,11.73
2010-07-31,50.68,$5.80,8.74
2010-04-30,45.23,$7.99,5.66
2010-01-31,37.6,$7.06,5.32
2009-10-31,34.11,$3.66,9.31
