McCormick Price to Free Cash Flow Ratio Historical Data,McCormick Price to Free Cash Flow Ratio Historical Data,McCormick Price to Free Cash Flow Ratio Historical Data,McCormick Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,80.03,,24.84
2024-05-31,71.79,$3.22,22.29
2024-02-29,68.07,$2.45,27.78
2023-11-30,63.69,$3.30,19.3
2023-08-31,80.15,$1.56,51.53
2023-05-31,83.33,$1.12,74.61
2022-11-30,82.05,$1.44,56.92
2022-08-31,80.57,$1.67,48.26
2022-05-31,88.46,$1.80,49.01
2022-02-28,90.47,$2.24,40.34
2021-11-30,81.27,$2.04,39.86
2021-08-31,81.36,$1.93,42.25
2021-05-31,83.65,$3.31,25.3
2021-02-28,78.86,$2.73,28.85
2020-11-30,87.16,$4.01,21.74
2020-08-31,95.81,$2.78,34.41
2023-02-28,71.92,$2.59,27.72
2020-05-31,81.11,$2.91,27.85
2020-02-29,67.43,$2.61,25.79
2019-11-30,77.78,$2.88,26.97
2019-08-31,74.59,$2.85,26.14
2019-05-31,71.21,$2.76,25.81
2019-02-28,61.83,$2.93,21.07
2018-11-30,67.92,$2.45,27.76
2018-08-31,56.33,$2.74,20.55
2018-05-31,45.36,$2.68,16.9
2018-02-28,47.72,$2.21,21.61
2017-11-30,45.43,$2.46,18.43
2017-08-31,42.1,$1.82,23.16
2017-05-31,45.86,$1.79,25.56
2017-02-28,43.14,$1.82,23.72
2016-11-30,39.77,$1.98,20.12
2016-08-31,44.26,$1.75,25.26
2016-05-31,41.97,$1.85,22.64
2016-02-29,40.15,$1.70,23.66
2015-11-30,36.81,$1.79,20.59
2015-08-31,33.8,$1.62,20.93
2015-05-31,33.3,$1.46,22.82
2015-02-28,31.81,$1.51,21.08
2014-11-30,31.2,$1.42,21.98
2014-08-31,29.1,$1.48,19.66
2014-05-31,30.03,$1.52,19.78
2014-02-28,27.44,$1.52,18.05
2013-11-30,28.36,$1.38,20.6
2013-08-31,27.66,$1.22,22.67
2013-05-31,28.1,$1.25,22.41
2013-02-28,27.24,$1.34,20.35
2012-11-30,26.0,$1.29,20.18
2012-08-31,24.62,$1.53,16.09
2012-05-31,22.47,$1.30,17.23
2012-02-29,20.0,$-0.19,0.0
2011-11-30,19.19,$0.54,35.42
2011-08-31,18.72,$-0.02,0.0
2011-05-31,19.55,$0.06,306.4
2010-11-30,16.94,$1.13,14.98
2010-08-31,15.25,$1.77,8.63
2010-05-31,14.65,$1.38,10.58
2010-02-28,14.0,$1.52,9.23
2009-11-30,13.37,$1.91,7.01
2011-02-28,18.45,$0.40,46.48
