Amazon Price to Free Cash Flow Ratio Historical Data,Amazon Price to Free Cash Flow Ratio Historical Data,Amazon Price to Free Cash Flow Ratio Historical Data,Amazon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,178.5,,35.54
2024-06-30,193.25,$5.02,38.47
2024-03-31,180.38,$4.78,37.71
2023-12-31,151.94,$3.51,43.3
2023-09-30,127.12,$2.04,62.22
2023-06-30,130.36,$0.78,166.81
2023-03-31,103.29,$-0.31,0.0
2022-12-31,84.0,$-1.14,0.0
2022-09-30,112.73,$-1.91,0.0
2022-06-30,105.95,$-2.31,0.0
2022-03-31,162.61,$-1.83,0.0
2021-12-31,166.32,$-0.88,0.0
2021-09-30,163.86,$0.27,603.97
2021-06-30,171.59,$1.20,143.57
2021-03-31,154.33,$-0.20,0.0
2020-12-31,162.46,$2.04,79.67
2020-09-30,157.06,$0.79,198.96
2020-06-30,137.61,$1.23,111.94
2019-12-31,92.17,$2.56,35.98
2019-09-30,86.59,$3.18,27.26
2019-06-30,94.45,$2.50,37.83
2019-03-31,88.82,$2.46,36.14
2018-12-31,74.92,$3.00,25.0
2020-03-31,97.25,$0.37,263.2
2018-09-30,99.91,$1.55,64.53
2018-06-30,84.79,$1.06,80.18
2018-03-31,72.19,$0.74,97.03
2017-12-31,58.33,$0.84,69.24
2017-09-30,47.95,$0.82,58.59
2017-06-30,48.28,$1.00,48.5
2017-03-31,44.22,$1.05,42.05
2016-12-31,37.4,$1.08,34.59
2016-09-30,41.76,$0.96,43.55
2016-06-30,35.7,$0.82,43.72
2016-03-31,29.61,$0.71,41.7
2015-12-31,33.71,$0.78,43.17
2015-09-30,25.52,$0.58,43.71
2015-06-30,21.65,$0.48,45.18
2015-03-31,18.56,$0.34,54.78
2014-12-31,15.48,$0.21,73.4
2014-09-30,16.08,$0.12,134.81
2014-06-30,16.2,$0.11,141.61
2014-03-31,16.78,$-0.21,0.0
2013-12-31,19.89,$0.51,38.81
2013-09-30,15.59,$0.02,669.29
2013-06-30,13.85,$-0.02,0.0
2012-12-31,12.51,$0.04,287.0
2012-09-30,12.69,$0.26,48.57
2012-06-30,11.39,$-0.09,0.0
2012-03-31,10.1,$-0.05,0.0
2011-12-31,8.63,$0.26,33.78
2013-03-31,13.29,$-0.51,0.0
2011-09-30,10.79,$0.17,63.44
2011-06-30,10.2,$0.20,50.97
2011-03-31,8.98,$0.21,43.41
2010-12-31,8.98,$0.28,32.54
2010-09-30,7.83,$0.21,37.47
2010-06-30,5.45,$0.23,23.84
2010-03-31,6.77,$0.27,25.35
2009-12-31,6.71,$0.33,20.31
