Chubb Price to Free Cash Flow Ratio Historical Data,Chubb Price to Free Cash Flow Ratio Historical Data,Chubb Price to Free Cash Flow Ratio Historical Data,Chubb Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,284.18,,7.7
2024-06-30,255.08,$36.89,6.91
2024-03-31,258.22,$32.97,7.83
2023-12-31,224.46,$30.50,7.36
2023-09-30,205.96,$28.98,7.11
2023-06-30,189.74,$25.91,7.32
2023-03-31,190.48,$26.28,7.25
2022-12-31,215.46,$26.58,8.11
2022-09-30,176.95,$26.16,6.77
2022-06-30,190.43,$25.64,7.43
2022-03-31,206.3,$26.20,7.87
2021-12-31,185.74,$25.16,7.38
2021-09-30,166.01,$25.10,6.61
2021-06-30,151.43,$25.06,6.04
2021-03-31,149.76,$22.46,6.67
2020-12-31,145.24,$21.58,6.73
2020-09-30,109.02,$19.07,5.72
2020-06-30,118.09,$16.12,7.32
2020-03-31,103.54,$14.72,7.03
2019-12-31,143.21,$13.82,10.36
2019-09-30,147.82,$14.10,10.48
2019-06-30,134.22,$12.93,10.38
2019-03-31,127.02,$13.43,9.46
2018-12-31,116.51,$11.74,9.92
2018-09-30,119.83,$10.61,11.3
2018-06-30,113.3,$10.77,10.52
2018-03-31,121.29,$8.59,14.12
2017-12-31,128.93,$9.56,13.49
2017-09-30,125.16,$10.53,11.88
2017-06-30,127.01,$10.26,12.37
2017-03-31,118.46,$11.23,10.54
2016-12-31,114.29,$11.36,10.06
2016-09-30,108.13,$11.64,9.29
2016-06-30,111.87,$10.57,10.59
2016-03-31,101.41,$10.78,9.41
2015-12-31,98.9,$11.75,8.42
2015-09-30,87.03,$11.97,7.27
2015-06-30,85.02,$12.87,6.6
2015-03-31,92.62,$12.85,7.21
2014-12-31,94.88,$13.26,7.15
2014-09-30,86.11,$13.27,6.49
2014-06-30,84.1,$12.58,6.69
2014-03-31,80.34,$12.69,6.33
2013-12-31,83.43,$11.69,7.14
2013-09-30,75.06,$10.79,6.96
2013-06-30,70.69,$12.87,5.49
2013-03-31,69.94,$12.64,5.53
2012-12-31,62.39,$11.66,5.35
2012-09-30,58.74,$10.15,5.79
2012-06-30,56.85,$8.18,6.95
2012-03-31,56.14,$8.90,6.3
2011-12-31,53.08,$10.18,5.21
2011-09-30,45.87,$11.13,4.12
2011-06-30,49.54,$11.47,4.32
2011-03-31,48.43,$10.92,4.43
2010-12-31,46.36,$10.39,4.46
2010-09-30,43.15,$11.11,3.88
2010-06-30,37.68,$10.92,3.45
2010-03-31,38.28,$10.63,3.6
2009-12-31,36.67,$9.88,3.71
