Salesforce Price to Free Cash Flow Ratio Historical Data,Salesforce Price to Free Cash Flow Ratio Historical Data,Salesforce Price to Free Cash Flow Ratio Historical Data,Salesforce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,252.9,,21.94
2024-04-30,268.51,$11.53,23.29
2024-01-31,280.28,$9.65,29.04
2023-10-31,200.25,$8.95,22.37
2023-07-31,224.36,$7.65,29.32
2023-04-30,197.8,$7.14,27.71
2023-01-31,167.48,$6.33,26.45
2022-10-31,162.12,$5.70,28.43
2022-07-31,183.49,$5.65,32.48
2022-04-30,175.43,$5.67,30.97
2022-01-31,231.96,$5.42,42.77
2021-10-31,298.82,$5.66,52.77
2021-07-31,241.23,$5.79,41.65
2021-04-30,229.65,$5.97,38.48
2021-01-31,224.91,$4.40,51.13
2020-10-31,231.6,$4.05,57.25
2020-07-31,194.29,$4.07,47.75
2020-04-30,161.48,$6.02,26.82
2020-01-31,181.78,$5.87,30.98
2019-10-31,156.04,$4.00,38.99
2019-04-30,164.87,$4.11,40.1
2019-01-31,151.53,$3.62,41.9
2018-10-31,136.84,$3.34,40.99
2018-07-31,136.75,$3.36,40.74
2018-04-30,120.64,$3.29,36.61
2018-01-31,113.58,$3.00,37.88
2017-10-31,102.04,$2.53,40.36
2017-07-31,90.54,$2.56,35.32
2017-04-30,85.87,$2.50,34.31
2017-01-31,78.87,$2.43,32.51
2016-10-31,74.94,$2.26,33.19
2016-07-31,81.56,$2.34,34.86
2016-04-30,75.58,$2.51,30.15
2016-01-31,67.86,$2.10,32.36
2015-10-31,77.49,$1.90,40.76
2015-07-31,73.09,$1.85,39.6
2015-04-30,72.61,$1.75,41.43
2015-01-31,56.29,$1.43,39.43
2014-10-31,63.81,$-0.62,0.0
2014-07-31,54.09,$1.29,41.88
2014-04-30,51.5,$1.14,45.07
2014-01-31,60.36,$0.57,104.98
2019-07-31,154.05,$2.60,59.34
2013-10-31,53.21,$1.04,51.28
2013-07-31,43.62,$1.00,43.81
2013-04-30,40.99,$1.08,38.02
2013-01-31,42.91,$0.99,43.18
2012-10-31,36.39,$0.94,38.54
2012-07-31,31.0,$1.03,30.13
2012-04-30,38.82,$0.92,42.26
2012-01-31,29.12,$0.81,35.83
2011-10-31,33.2,$0.70,47.56
2011-07-31,36.07,$0.62,58.49
2011-04-30,34.55,$0.62,55.35
2011-01-31,32.19,$0.67,47.77
2010-10-31,28.93,$0.59,48.96
2010-07-31,24.67,$0.55,45.16
2010-04-30,21.34,$0.51,41.67
2010-01-31,15.84,$0.43,36.66
2009-10-31,14.15,$0.60,23.48
