Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data,Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data,Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data,Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,44.28,,41.52
2024-06-30,48.46,$1.07,45.43
2023-12-31,42.16,$0.33,126.23
2023-09-30,36.78,$1.09,33.83
2023-06-30,39.31,$1.52,25.93
2023-03-31,40.07,$1.16,34.57
2022-12-31,37.09,$1.78,20.81
2024-03-31,46.74,$1.71,27.33
2022-09-30,26.54,$2.40,11.04
2022-06-30,28.25,$3.39,8.34
2022-03-31,47.87,$4.12,11.61
2021-12-31,40.03,$3.95,10.15
2021-09-30,31.14,$3.88,8.02
2021-06-30,35.45,$3.40,10.42
2021-03-31,31.39,$2.09,15.05
2020-12-31,24.8,$1.20,20.59
2020-09-30,14.91,$0.01,0.0
2020-06-30,11.03,$-0.76,0.0
2020-03-31,6.43,$-0.82,0.0
2019-12-31,12.46,$-0.42,0.0
2019-09-30,9.04,$-0.48,0.0
2019-06-30,10.92,$0.29,37.68
2019-03-31,12.08,$0.95,12.78
2018-12-31,9.62,$1.61,5.97
2018-09-30,12.94,$2.57,5.04
2018-06-30,15.99,$2.74,5.84
2018-03-31,16.24,$2.59,6.26
2017-12-31,17.52,$2.24,7.82
2017-09-30,12.97,$1.60,8.09
2017-06-30,11.1,$1.40,7.91
2017-03-31,12.35,$1.20,10.27
2016-12-31,12.19,$0.70,17.38
2016-09-30,10.04,$-0.24,0.0
2016-06-30,10.29,$-1.29,0.0
2016-03-31,9.55,$-1.98,0.0
2015-12-31,6.26,$-2.90,0.0
2015-09-30,8.92,$-2.81,0.0
2015-06-30,16.98,$-2.12,0.0
2015-03-31,17.23,$-2.24,0.0
2014-12-31,20.93,$-1.52,0.0
2014-09-30,28.96,$-0.13,0.0
2014-06-30,32.12,$0.03,1081.31
2014-03-31,28.82,$0.43,67.51
2013-12-31,32.6,$0.85,38.45
2013-09-30,28.31,$0.42,67.73
2013-06-30,23.37,$-0.31,0.0
2013-03-31,26.85,$0.22,120.73
2012-12-31,27.5,$0.29,93.69
2012-09-30,31.58,$-0.05,0.0
2012-06-30,26.92,$1.62,16.63
2012-03-31,29.8,$2.44,12.24
2011-12-31,28.65,$4.28,6.7
2011-09-30,23.55,$5.91,3.98
2011-06-30,40.73,$5.78,7.04
2011-03-31,42.13,$5.39,7.82
2010-12-31,45.35,$5.12,8.85
2010-09-30,31.86,$6.42,4.96
2010-06-30,21.96,$6.45,3.4
2010-03-31,30.97,$4.67,6.63
2009-12-31,29.71,$4.94,6.01
