Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data,Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data,Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data,Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,19.7,,0.0
2024-06-30,17.46,$-2.20,0.0
2024-03-31,16.75,$-1.98,0.0
2023-12-31,18.01,$-2.32,0.0
2023-09-30,16.1,$-1.87,0.0
2023-06-30,17.25,$-2.43,0.0
2023-03-31,16.14,$-2.96,0.0
2022-12-31,16.23,$-2.75,0.0
2022-09-30,12.48,$-3.22,0.0
2022-06-30,9.96,$-2.97,0.0
2022-03-31,11.92,$18.30,0.65
2021-12-31,12.12,$8.81,1.38
2021-09-30,9.58,$-1.52,0.0
2021-06-30,10.15,$-1.06,0.0
2020-12-31,12.44,$-21.34,0.0
2020-09-30,9.37,$-14.14,0.0
2020-06-30,8.85,$-3.70,0.0
2020-03-31,8.97,$-4.83,0.0
2019-12-31,10.85,$-2.84,0.0
2019-09-30,9.98,$-2.96,0.0
2019-06-30,22.88,$-2.47,0.0
2019-03-31,17.77,$-2.13,0.0
2018-12-31,23.71,$-4.96,0.0
2018-09-30,45.93,$-1.24,0.0
2018-06-30,42.49,$-0.98,0.0
2017-12-31,44.75,$0.66,68.32
2017-09-30,67.97,$0.63,107.28
2017-06-30,65.74,$-0.37,0.0
2017-03-31,65.21,$-1.61,0.0
2016-12-31,59.28,$-2.59,0.0
2016-09-30,59.19,$-3.07,0.0
2016-06-30,61.37,$-4.62,0.0
2016-03-31,56.89,$-3.15,0.0
2015-12-31,50.28,$-3.77,0.0
2015-09-30,49.49,$-2.61,0.0
2018-03-31,43.85,$-2.21,0.0
2015-06-30,45.63,$-1.36,0.0
2015-03-31,48.87,$-1.74,0.0
2014-12-31,48.6,$-2.43,0.0
2014-09-30,40.78,$-2.94,0.0
2014-06-30,43.03,$-3.82,0.0
2014-03-31,38.34,$-4.05,0.0
2013-12-31,35.38,$-4.00,0.0
2013-09-30,35.54,$-1.95,0.0
2013-06-30,39.29,$-1.68,0.0
2013-03-31,37.87,$0.13,302.23
2012-12-31,33.82,$0.61,55.7
2012-09-30,35.51,$-1.19,0.0
2012-06-30,37.27,$-0.87,0.0
2012-03-31,35.38,$-1.50,0.0
2011-12-31,33.25,$-0.74,0.0
2011-09-30,33.74,$0.34,98.57
2011-06-30,33.17,$-0.44,0.0
2011-03-31,34.49,$0.02,1546.69
2010-12-31,36.96,$-1.52,0.0
2010-09-30,34.76,$-3.04,0.0
2010-06-30,31.15,$-2.56,0.0
2010-03-31,31.8,$-3.05,0.0
2009-12-31,33.12,$-2.38,0.0
2009-09-30,29.76,$-0.83,0.0
