Truist Financial Price to Free Cash Flow Ratio Historical Data,Truist Financial Price to Free Cash Flow Ratio Historical Data,Truist Financial Price to Free Cash Flow Ratio Historical Data,Truist Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,44.46,,12.72
2024-06-30,38.37,$3.49,10.98
2024-03-31,37.99,$5.66,6.72
2023-12-31,35.47,$6.48,5.47
2023-09-30,27.0,$7.30,3.7
2023-06-30,28.18,$8.34,3.38
2023-03-31,31.06,$8.51,3.65
2022-12-31,38.77,$8.28,4.68
2022-09-30,38.76,$9.20,4.21
2022-06-30,41.79,$6.22,6.72
2022-03-31,49.45,$5.73,8.63
2021-12-31,50.69,$5.85,8.67
2021-09-30,50.4,$3.99,12.63
2021-06-30,47.3,$4.36,10.85
2021-03-31,49.34,$1.78,27.66
2020-12-31,40.21,$4.88,8.25
2020-09-30,31.61,$2.38,13.26
2020-06-30,30.84,$4.39,7.02
2020-03-31,24.98,$5.66,4.41
2019-12-31,45.24,$1.59,28.46
2019-09-30,42.52,$3.66,11.62
2019-06-30,38.77,$3.43,11.29
2019-03-31,36.41,$3.69,9.86
2018-12-31,33.63,$5.09,6.61
2018-09-30,37.38,$5.85,6.39
2018-06-30,38.54,$5.72,6.74
2018-03-31,39.5,$5.91,6.68
2017-12-31,37.46,$5.72,6.55
2017-09-30,35.12,$6.72,5.23
2017-06-30,33.74,$4.59,7.35
2017-03-31,32.99,$4.18,7.89
2016-12-31,34.47,$3.82,9.02
2016-09-30,27.44,$2.45,11.21
2016-06-30,25.7,$5.15,4.99
2016-03-31,23.81,$4.78,4.98
2015-12-31,26.83,$4.13,6.49
2015-09-30,25.09,$4.80,5.22
2015-06-30,28.21,$3.23,8.73
2015-03-31,27.1,$2.72,9.95
2014-12-31,26.86,$4.41,6.09
2014-09-30,25.54,$7.05,3.62
2014-06-30,26.88,$5.40,4.98
2014-03-31,27.21,$7.70,3.54
2013-12-31,25.13,$7.43,3.38
2013-09-30,22.57,$3.13,7.2
2013-06-30,22.51,$4.87,4.63
2013-03-31,20.7,$3.23,6.42
2012-12-31,18.93,$5.24,3.61
2012-09-30,21.44,$4.70,4.56
2012-06-30,19.82,$4.36,4.55
2012-03-31,20.03,$5.87,3.42
2011-12-31,15.97,$6.06,2.63
2011-09-30,13.44,$8.00,1.68
2011-06-30,16.81,$7.73,2.17
2011-03-31,17.08,$7.18,2.38
2010-12-31,16.27,$4.90,3.32
2010-09-30,14.81,$3.24,4.57
2010-06-30,16.09,$10.34,1.56
2010-03-31,19.72,$16.01,1.23
2009-12-31,15.36,$-1.05,0.0
