Hormel Foods Price to Free Cash Flow Ratio Historical Data,Hormel Foods Price to Free Cash Flow Ratio Historical Data,Hormel Foods Price to Free Cash Flow Ratio Historical Data,Hormel Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,32.55,,18.04
2024-04-30,35.23,$1.80,19.53
2024-01-31,29.84,$1.77,16.91
2023-10-31,31.7,$1.43,22.23
2023-07-31,39.48,$1.55,25.54
2023-04-30,38.79,$1.34,29.01
2023-01-31,43.16,$1.26,34.21
2022-10-31,43.98,$1.56,28.19
2022-07-31,46.45,$1.91,24.36
2022-04-30,49.05,$1.72,28.52
2022-01-31,44.23,$1.72,25.79
2021-10-31,39.22,$1.41,27.83
2021-07-31,42.74,$0.75,56.99
2021-04-30,42.35,$1.15,36.84
2021-01-31,42.73,$1.46,29.3
2020-10-31,44.16,$1.39,31.66
2020-07-31,45.91,$1.58,29.08
2020-04-30,42.09,$1.41,29.88
2020-01-31,42.25,$1.14,37.14
2019-10-31,36.37,$1.22,29.75
2019-07-31,36.27,$1.49,24.34
2019-04-30,35.16,$1.58,22.23
2019-01-31,37.07,$1.45,25.59
2018-10-31,38.04,$1.58,24.0
2018-07-31,31.21,$1.68,18.63
2018-04-30,31.3,$1.70,18.37
2018-01-31,29.48,$1.68,17.57
2017-10-31,26.62,$1.51,17.58
2017-07-31,29.03,$1.38,21.0
2017-04-30,29.65,$1.26,23.47
2017-01-31,30.52,$1.30,23.45
2016-10-31,32.22,$1.46,22.1
2016-07-31,31.14,$1.32,23.54
2016-04-30,32.01,$1.43,22.35
2016-01-31,33.26,$1.63,20.38
2015-10-31,27.84,$1.60,17.38
2015-07-31,24.31,$1.69,14.36
2015-04-30,22.22,$1.47,15.1
2015-01-31,20.85,$1.01,20.66
2014-10-31,21.84,$1.11,19.73
2014-07-31,18.26,$0.86,21.17
2014-04-30,19.16,$0.98,19.56
2014-01-31,18.18,$1.29,14.04
2013-10-31,17.31,$1.00,17.29
2013-07-31,16.8,$1.04,16.13
2013-04-30,16.31,$0.83,19.56
2013-01-31,13.62,$0.22,61.51
2012-10-31,11.51,$0.24,48.65
2012-07-31,10.82,$-0.08,0.0
2012-04-30,11.21,$0.02,737.32
2011-10-31,11.25,$0.73,15.37
2011-07-31,11.01,$1.00,11.0
2011-04-30,11.13,$1.18,9.4
2011-01-31,9.3,$1.15,8.12
2010-10-31,8.6,$0.95,9.03
2012-01-31,11.04,$0.62,17.86
2010-07-31,8.0,$0.76,10.47
2010-04-30,7.56,$0.72,10.57
2010-01-31,7.15,$0.76,9.44
2009-10-31,6.7,$0.86,7.77
