Southern Price to Free Cash Flow Ratio Historical Data,Southern Price to Free Cash Flow Ratio Historical Data,Southern Price to Free Cash Flow Ratio Historical Data,Southern Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,86.4,,0.0
2024-06-30,76.93,$-0.05,0.0
2024-03-31,70.51,$-0.85,0.0
2023-12-31,68.2,$-1.26,0.0
2023-09-30,62.32,$-1.51,0.0
2023-06-30,66.96,$-2.49,0.0
2023-03-31,65.69,$-2.31,0.0
2022-12-31,66.74,$-1.25,0.0
2022-09-30,62.9,$-0.82,0.0
2022-06-30,65.39,$0.41,159.26
2022-03-31,65.89,$0.19,350.83
2021-12-31,61.68,$-0.47,0.0
2021-09-30,55.14,$-0.56,0.0
2021-06-30,53.31,$-0.81,0.0
2021-03-31,54.21,$-0.50,0.0
2020-12-31,53.01,$0.21,253.15
2020-09-30,46.32,$-0.29,0.0
2020-06-30,43.78,$-0.06,0.0
2020-03-31,45.16,$0.13,347.12
2019-12-31,52.66,$3.18,16.58
2019-09-30,50.56,$3.62,13.97
2019-06-30,44.77,$5.75,7.78
2019-03-31,41.37,$5.33,7.76
2018-12-31,34.73,$1.85,18.74
2018-09-30,34.04,$1.49,22.81
2018-06-30,35.7,$-0.40,0.0
2018-03-31,33.95,$-0.53,0.0
2017-12-31,36.09,$-0.92,0.0
2017-09-30,36.46,$-1.45,0.0
2017-06-30,35.1,$-1.66,0.0
2017-03-31,36.07,$-1.96,0.0
2016-12-31,35.24,$-2.51,0.0
2016-09-30,36.32,$-2.08,0.0
2016-06-30,37.57,$-0.63,0.0
2016-03-31,35.84,$-0.22,0.0
2015-12-31,32.05,$0.66,48.82
2015-09-30,30.25,$1.52,19.96
2015-06-30,28.02,$1.18,23.77
2015-03-31,29.25,$0.52,56.61
2014-12-31,32.07,$0.63,50.79
2014-09-30,28.19,$1.10,25.72
2014-06-30,28.96,$0.77,37.74
2014-03-31,27.72,$1.16,23.91
2013-12-31,25.61,$0.72,35.59
2013-09-30,25.34,$0.04,597.68
2013-06-30,26.85,$0.04,631.76
2013-03-31,28.24,$0.33,85.17
2012-12-31,25.49,$0.10,251.6
2012-09-30,27.15,$0.41,65.81
2012-06-30,26.99,$0.59,45.8
2012-03-31,25.91,$0.93,28.0
2011-12-31,26.42,$1.59,16.56
2011-09-30,23.92,$0.86,27.84
2011-06-30,22.53,$0.84,26.92
2011-03-31,21.01,$0.18,114.91
2010-12-31,20.82,$-0.11,0.0
2010-09-30,20.04,$-0.25,0.0
2010-06-30,17.68,$-0.68,0.0
2010-03-31,17.39,$-1.05,0.0
2009-12-31,17.24,$-1.61,0.0
