Willis Towers Watson Public Price to Free Cash Flow Ratio Historical Data,Willis Towers Watson Public Price to Free Cash Flow Ratio Historical Data,Willis Towers Watson Public Price to Free Cash Flow Ratio Historical Data,Willis Towers Watson Public Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,292.11,,27.88
2024-06-30,262.14,$10.48,25.02
2024-03-31,275.0,$9.38,29.31
2023-12-31,241.2,$10.41,23.18
2023-09-30,208.96,$8.95,23.35
2023-06-30,234.57,$6.84,34.28
2023-03-31,230.63,$6.32,36.51
2022-12-31,241.85,$5.43,44.55
2022-09-30,198.04,$3.61,54.88
2022-06-30,193.75,$13.89,13.95
2022-03-31,230.92,$15.58,14.82
2021-12-31,231.37,$14.42,16.05
2021-09-30,225.71,$17.35,13.01
2021-06-30,222.56,$9.47,23.5
2021-03-31,220.86,$10.52,21.0
2020-12-31,202.68,$11.45,17.71
2020-09-30,200.2,$10.37,19.31
2020-06-30,188.2,$8.80,21.39
2020-03-31,161.74,$6.45,25.06
2019-12-31,191.54,$5.97,32.09
2019-09-30,182.44,$6.88,26.52
2019-06-30,180.48,$6.74,26.77
2019-03-31,164.94,$6.84,24.12
2018-12-31,142.07,$7.32,19.41
2018-09-30,131.34,$5.55,23.65
2018-06-30,140.67,$4.50,31.29
2018-03-31,140.66,$3.42,41.15
2017-12-31,138.72,$4.00,34.68
2017-09-30,141.49,$3.59,39.37
2017-06-30,132.99,$3.63,36.66
2017-03-31,119.24,$4.30,27.74
2016-12-31,110.94,$4.56,24.34
