GE Aerospace Price to Free Cash Flow Ratio Historical Data,GE Aerospace Price to Free Cash Flow Ratio Historical Data,GE Aerospace Price to Free Cash Flow Ratio Historical Data,GE Aerospace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,174.62,,36.34
2024-06-30,158.7,$4.81,33.03
2024-03-31,139.47,$4.40,31.71
2023-12-31,101.41,$3.34,30.34
2023-09-30,87.78,$4.77,18.39
2023-06-30,87.1,$4.85,17.95
2023-03-31,75.8,$4.71,16.09
2022-12-31,66.38,$4.51,14.7
2022-09-30,49.0,$2.88,17.01
2022-06-30,50.33,$3.62,13.92
2022-03-31,72.24,$3.65,19.81
2021-12-31,74.51,$2.29,32.48
2021-09-30,81.19,$3.24,25.03
2021-06-30,84.79,$2.33,36.34
2021-03-31,82.65,$0.60,137.73
2020-12-31,67.93,$2.00,33.94
2020-09-30,39.15,$4.60,8.51
2020-06-30,42.85,$5.00,8.57
2020-03-31,49.74,$5.86,8.49
2019-12-31,69.84,$6.32,11.05
2019-09-30,55.89,$7.89,7.09
2019-06-30,65.58,$3.47,18.89
2019-03-31,62.33,$2.85,21.89
2018-12-31,45.5,$2.25,20.23
2018-09-30,67.77,$-1.48,0.0
2018-06-30,80.94,$2.19,36.98
2018-03-31,79.45,$4.90,16.22
2017-12-31,102.0,$5.01,20.35
2017-09-30,140.37,$3.22,43.64
2017-06-30,155.24,$3.48,44.66
2017-03-31,169.87,$-1.58,0.0
2016-12-31,178.7,$-1.42,0.0
2016-09-30,166.25,$1.08,153.42
2016-06-30,175.33,$0.42,415.19
2016-03-31,175.74,$8.26,21.28
2015-12-31,170.86,$12.71,13.44
2015-09-30,137.3,$16.19,8.48
2015-06-30,143.35,$20.46,7.01
2015-03-31,132.74,$20.25,6.56
2014-12-31,133.97,$18.57,7.21
2014-09-30,134.59,$21.13,6.37
2014-06-30,136.91,$19.73,6.94
2014-03-31,133.78,$19.91,6.72
2013-12-31,143.58,$19.03,7.55
2013-09-30,121.4,$14.78,8.22
2013-06-30,116.93,$15.33,7.63
2013-03-31,115.64,$14.57,7.94
2012-12-31,104.13,$16.96,6.14
2012-09-30,111.66,$16.00,6.98
2012-06-30,101.69,$18.19,5.59
2012-03-31,97.09,$19.06,5.09
2011-12-31,85.88,$20.03,4.29
2011-09-30,72.3,$21.22,3.41
2011-06-30,88.77,$22.24,3.99
2011-03-31,93.61,$24.31,3.85
2010-12-31,84.81,$25.12,3.38
2010-09-30,74.77,$26.74,2.8
2010-06-30,65.87,$25.98,2.53
2010-03-31,82.61,$23.52,3.51
2009-12-31,68.25,$16.78,4.07
