Progressive Price to Free Cash Flow Ratio Historical Data,Progressive Price to Free Cash Flow Ratio Historical Data,Progressive Price to Free Cash Flow Ratio Historical Data,Progressive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,252.2,,29.53
2024-06-30,207.61,$8.54,24.31
2023-12-31,158.34,$17.77,8.91
2023-09-30,138.38,$17.83,7.76
2023-06-30,131.39,$19.20,6.84
2023-03-31,141.91,$18.60,7.63
2022-12-31,128.57,$16.77,7.67
2024-03-31,206.62,$16.82,12.28
2022-09-30,115.09,$10.37,11.1
2022-06-30,115.06,$11.07,10.39
2022-03-31,112.7,$12.69,8.88
2021-12-31,101.39,$12.92,7.85
2021-09-30,87.88,$14.81,5.93
2021-06-30,95.39,$13.25,7.2
2021-03-31,92.77,$13.12,7.07
2020-12-31,91.5,$11.41,8.02
2020-09-30,87.51,$10.64,8.22
2020-06-30,73.96,$11.11,6.65
2020-03-31,68.08,$9.74,6.99
2019-12-31,64.65,$10.14,6.38
2019-09-30,68.9,$10.01,6.89
2019-06-30,71.21,$9.94,7.17
2019-03-31,64.14,$10.42,6.16
2018-12-31,53.67,$10.27,5.22
2018-09-30,63.2,$9.43,6.7
2018-06-30,52.62,$8.60,6.12
2018-03-31,54.21,$4.79,11.33
2017-12-31,49.08,$2.55,19.24
2017-09-30,42.19,$2.84,14.88
2017-06-30,38.42,$2.05,18.73
2016-12-31,30.37,$4.31,7.04
2016-09-30,26.95,$5.46,4.94
2016-06-30,28.66,$6.19,4.63
2016-03-31,30.07,$6.19,4.86
2015-12-31,26.44,$5.95,4.44
2017-03-31,34.14,$5.39,6.34
2015-09-30,25.47,$3.59,7.1
2015-06-30,23.14,$3.40,6.81
2015-03-31,22.61,$2.92,7.75
2014-12-31,21.86,$2.73,8.01
2014-09-30,20.47,$2.87,7.13
2014-06-30,20.54,$2.83,7.26
2014-03-31,19.62,$2.85,6.88
2013-12-31,20.75,$2.92,7.1
2013-09-30,20.72,$2.69,7.7
2013-06-30,19.34,$2.57,7.52
2013-03-31,19.23,$2.61,7.35
2012-12-31,15.86,$2.58,6.15
2012-09-30,14.89,$2.56,5.82
2012-06-30,14.96,$2.47,6.05
2012-03-31,16.64,$2.35,7.09
2011-12-31,13.73,$2.23,6.15
2011-09-30,12.5,$2.24,5.57
2011-06-30,15.05,$2.22,6.78
2011-03-31,14.87,$2.47,6.03
2010-12-31,13.71,$2.45,5.6
2010-09-30,13.71,$2.57,5.32
2010-06-30,12.3,$2.56,4.8
2010-03-31,12.54,$2.32,5.4
2009-12-31,11.7,$2.12,5.53
