Fortinet Price to Free Cash Flow Ratio Historical Data,Fortinet Price to Free Cash Flow Ratio Historical Data,Fortinet Price to Free Cash Flow Ratio Historical Data,Fortinet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,76.71,,37.65
2024-06-30,60.27,$2.04,29.58
2024-03-31,68.31,$2.17,31.47
2023-12-31,58.53,$2.20,26.64
2023-09-30,58.68,$2.59,22.68
2023-06-30,75.59,$2.48,30.53
2023-03-31,66.46,$2.28,29.12
2022-12-31,48.89,$1.80,27.16
2022-09-30,49.13,$1.46,33.77
2022-06-30,56.58,$1.34,42.2
2022-03-31,68.35,$1.46,46.9
2021-12-31,71.88,$1.44,49.88
2021-09-30,58.41,$1.48,39.37
2021-06-30,47.64,$1.32,36.18
2021-03-31,36.88,$1.12,32.79
2020-12-31,29.71,$1.14,26.0
2020-09-30,23.56,$1.00,23.55
2020-06-30,27.45,$1.01,27.16
2020-03-31,20.23,$0.93,21.65
2019-12-31,21.35,$0.82,26.1
2019-09-30,15.35,$0.85,18.0
2019-06-30,15.37,$0.80,19.31
2019-03-31,16.79,$0.74,22.63
2018-12-31,14.09,$0.67,20.94
2018-09-30,18.45,$0.64,28.91
2018-06-30,12.49,$0.62,20.15
2018-03-31,10.72,$0.53,20.05
2017-12-31,8.74,$0.52,16.95
2017-09-30,7.17,$0.45,15.94
2017-06-30,7.49,$0.37,20.46
2017-03-31,7.67,$0.37,21.0
2016-12-31,6.02,$0.32,19.07
2016-09-30,7.39,$0.29,25.57
2016-06-30,6.32,$0.27,23.27
2016-03-31,6.13,$0.29,21.07
2015-12-31,6.23,$0.28,22.39
2015-09-30,8.5,$0.24,34.85
2015-06-30,8.27,$0.25,33.6
2015-03-31,6.99,$0.20,34.28
2014-12-31,6.13,$0.19,31.58
2014-09-30,5.05,$0.21,24.55
2014-06-30,5.03,$0.17,29.09
2014-03-31,4.41,$0.17,25.29
2013-12-31,3.83,$0.16,24.09
2013-09-30,4.05,$0.17,23.82
2013-06-30,3.5,$0.17,20.25
2013-03-31,4.74,$0.18,26.09
2012-12-31,4.2,$0.19,21.61
2012-09-30,4.82,$0.16,29.7
2012-06-30,4.64,$0.18,26.37
2012-03-31,5.53,$0.17,33.33
2011-12-31,4.36,$0.16,27.64
2011-09-30,3.36,$0.17,19.76
2011-06-30,5.46,$0.19,28.97
2011-03-31,4.42,$0.18,25.1
2010-12-31,3.24,$0.16,20.36
2010-09-30,2.5,$0.17,14.73
