Raymond James Financial Price to Free Cash Flow Ratio Historical Data,Raymond James Financial Price to Free Cash Flow Ratio Historical Data,Raymond James Financial Price to Free Cash Flow Ratio Historical Data,Raymond James Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,119.57,,13.33
2024-06-30,123.16,$8.97,13.73
2024-03-31,127.95,$4.38,29.2
2023-12-31,110.71,$-0.34,0.0
2023-09-30,99.31,$-17.00,0.0
2023-06-30,102.19,$-39.91,0.0
2023-03-31,91.48,$-11.87,0.0
2022-12-31,104.33,$-3.58,0.0
2022-09-30,96.11,$-0.09,0.0
2022-06-30,86.66,$42.33,2.05
2022-03-31,105.8,$22.25,4.75
2021-12-31,96.32,$11.22,8.59
2021-09-30,88.53,$31.12,2.84
2021-06-30,82.85,$16.21,5.11
2021-03-31,77.94,$8.39,9.29
2020-12-31,60.39,$25.42,2.38
2020-09-30,45.93,$18.78,2.45
2020-06-30,43.23,$15.21,2.84
2020-03-31,39.48,$15.78,2.5
2019-12-31,55.56,$3.54,15.7
2019-09-30,51.0,$2.03,25.09
2019-06-30,52.08,$1.85,28.2
2019-03-31,49.33,$0.78,63.14
2018-12-31,45.25,$2.52,17.95
2018-09-30,55.98,$3.36,16.66
2018-06-30,54.16,$-6.19,0.0
2018-03-31,54.01,$-3.18,0.0
2017-12-31,53.65,$-3.03,0.0
2017-09-30,50.66,$-1.43,0.0
2017-06-30,48.07,$2.71,17.75
2017-03-31,45.57,$1.47,30.95
2016-12-31,41.27,$-0.85,0.0
2016-09-30,34.57,$-3.21,0.0
2016-06-30,29.18,$1.30,22.46
2016-03-31,28.06,$1.63,17.23
2015-12-31,34.03,$3.71,9.17
2015-09-30,29.03,$3.77,7.71
2015-06-30,34.72,$2.07,16.74
2015-03-31,32.99,$3.21,10.29
2014-12-31,33.19,$3.10,10.71
2014-09-30,30.94,$2.08,14.89
2014-06-30,29.21,$3.03,9.65
2014-03-31,32.1,$2.65,12.14
2013-12-31,29.87,$1.75,17.07
2013-09-30,23.77,$2.78,8.54
2013-06-30,24.44,$2.44,10.03
2013-03-31,26.13,$2.01,13.03
2012-12-31,21.77,$2.82,7.72
2012-09-30,20.63,$1.59,13.0
2012-06-30,19.21,$3.34,5.76
2012-03-31,20.41,$2.41,8.48
2011-12-31,17.24,$1.48,11.68
2011-09-30,14.39,$8.26,1.74
2011-06-30,17.74,$-0.11,0.0
2011-03-31,21.02,$0.59,35.73
2010-12-31,17.91,$1.59,11.27
2010-09-30,13.82,$-5.82,0.0
2010-06-30,13.41,$-0.19,0.0
2010-03-31,14.46,$0.70,20.55
2009-12-31,12.81,$1.12,11.48
