General Motors Price to Free Cash Flow Ratio Historical Data,General Motors Price to Free Cash Flow Ratio Historical Data,General Motors Price to Free Cash Flow Ratio Historical Data,General Motors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,49.78,,3.16
2024-06-30,46.46,$15.77,2.95
2024-03-31,45.35,$5.30,8.56
2023-12-31,35.82,$13.72,2.61
2023-09-30,32.78,$6.31,5.2
2023-06-30,38.24,$4.01,9.53
2022-12-31,33.19,$14.47,2.29
2022-09-30,31.59,$15.32,2.06
2022-06-30,31.19,$15.99,1.95
2022-03-31,42.96,$14.04,3.06
2021-12-31,57.59,$17.54,3.28
2023-03-31,36.27,$5.57,6.51
2021-09-30,51.77,$15.33,3.38
2021-06-30,58.12,$6.84,8.49
2021-03-31,56.44,$5.88,9.61
2020-12-31,40.9,$11.64,3.51
2020-09-30,29.06,$3.95,7.36
2019-12-31,35.5,$14.41,2.46
2019-09-30,35.97,$22.34,1.61
2019-06-30,36.61,$10.15,3.61
2019-03-31,34.88,$8.26,4.22
2018-12-31,31.14,$11.74,2.65
2020-06-30,24.85,$1.36,18.28
2018-09-30,31.01,$12.00,2.58
2018-06-30,35.89,$10.95,3.28
2018-03-31,32.82,$9.90,3.32
2017-12-31,36.65,$10.42,3.52
2017-09-30,35.78,$7.53,4.75
2017-06-30,30.64,$8.93,3.43
2017-03-31,30.68,$5.39,5.69
2016-12-31,29.92,$6.86,4.36
2016-09-30,26.99,$3.75,7.2
2016-06-30,23.76,$1.56,15.24
2020-03-31,20.41,$2.94,6.93
2016-03-31,26.05,$2.95,8.83
2015-12-31,27.84,$3.69,7.55
2015-09-30,24.33,$3.57,6.81
2015-06-30,26.69,$2.28,11.73
2015-03-31,29.72,$1.17,25.37
2014-12-31,27.45,$2.08,13.22
2014-09-30,24.89,$1.83,13.57
2014-06-30,28.03,$3.31,8.46
2014-03-31,26.36,$3.89,6.77
2013-12-31,31.03,$3.02,10.27
2013-09-30,27.31,$1.47,18.54
2013-06-30,25.29,$1.21,20.91
2013-03-31,21.12,$-0.38,0.0
2012-12-31,21.89,$-0.06,0.0
2012-09-30,17.27,$0.97,17.74
2012-06-30,14.97,$2.36,6.34
2011-12-31,15.39,$1.15,13.39
2011-09-30,15.32,$3.00,5.12
2011-06-30,23.05,$3.04,7.58
