Celanese Price to Free Cash Flow Ratio Historical Data,Celanese Price to Free Cash Flow Ratio Historical Data,Celanese Price to Free Cash Flow Ratio Historical Data,Celanese Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,130.6,,12.7
2024-06-30,134.22,$10.28,13.05
2024-03-31,170.23,$14.22,11.97
2023-12-31,153.19,$12.17,12.59
2023-09-30,123.0,$9.38,13.11
2023-06-30,112.85,$9.91,11.39
2023-03-31,105.42,$7.66,13.77
2022-12-31,98.4,$11.68,8.42
2022-09-30,86.32,$11.73,7.36
2022-06-30,111.7,$13.53,8.26
2022-03-31,135.04,$12.94,10.43
2021-12-31,158.1,$11.51,13.74
2021-09-30,141.12,$9.43,14.97
2021-06-30,141.39,$7.66,18.46
2021-03-31,139.12,$7.31,19.04
2020-12-31,120.04,$8.26,14.53
2020-09-30,98.73,$8.04,12.27
2020-06-30,78.81,$7.66,10.29
2020-03-31,66.47,$8.09,8.22
2019-12-31,110.88,$8.70,12.75
2019-09-30,109.58,$9.31,11.77
2019-06-30,96.06,$9.55,10.06
2019-03-31,87.37,$10.38,8.42
2018-12-31,79.29,$9.02,8.79
2018-09-30,100.47,$6.77,14.84
2018-06-30,97.43,$5.32,18.33
2018-03-31,87.48,$3.37,25.95
2017-12-31,93.05,$3.88,24.01
2017-09-30,90.22,$3.35,26.91
2017-06-30,81.75,$3.68,22.23
2017-03-31,76.96,$3.90,19.74
2016-12-31,67.17,$4.44,15.12
2016-09-30,56.5,$5.51,10.26
2016-06-30,55.26,$4.23,13.06
2016-03-31,55.02,$3.01,18.29
2015-12-31,56.25,$2.25,25.05
2015-09-30,49.23,$1.63,30.15
2015-06-30,59.53,$2.36,25.19
2015-03-31,46.05,$2.42,19.04
2014-12-31,49.22,$1.82,27.06
2014-09-30,47.83,$2.40,19.93
2014-06-30,52.32,$1.96,26.7
2014-03-31,44.99,$2.08,21.62
2013-12-31,44.68,$2.42,18.49
2013-09-30,42.51,$1.93,21.97
2013-06-30,35.94,$2.18,16.48
2013-03-31,35.27,$1.84,19.21
2012-12-31,35.6,$1.95,18.24
2012-09-30,30.25,$2.29,13.19
2012-06-30,27.57,$1.37,20.18
2012-03-31,36.73,$1.08,33.96
2011-12-31,35.16,$0.53,65.76
2011-09-30,25.8,$-0.11,0.0
2011-06-30,42.23,$-0.00,0.0
2011-03-31,35.11,$-0.45,0.0
2010-12-31,32.54,$-0.39,0.0
2010-09-30,25.33,$2.62,9.66
2010-06-30,19.62,$2.25,8.71
2010-03-31,25.06,$2.15,11.64
2009-12-31,25.23,$2.67,9.44
