Franklin Resources Price to Free Cash Flow Ratio Historical Data,Franklin Resources Price to Free Cash Flow Ratio Historical Data,Franklin Resources Price to Free Cash Flow Ratio Historical Data,Franklin Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,20.24,,9.22
2024-06-30,22.35,$2.19,10.18
2024-03-31,27.73,$2.43,11.39
2023-12-31,28.75,$2.04,14.1
2023-09-30,23.72,$2.02,11.76
2023-06-30,25.47,$2.11,12.09
2023-03-31,25.4,$2.59,9.8
2022-12-31,24.59,$2.93,8.39
2022-09-30,19.84,$3.81,5.2
2022-06-30,21.21,$3.06,6.93
2022-03-31,25.1,$1.77,14.17
2021-12-31,29.8,$2.12,14.07
2021-09-30,26.22,$2.38,11.03
2021-06-30,27.96,$2.17,12.89
2021-03-31,25.65,$2.92,8.78
2020-12-31,21.45,$2.49,8.63
2020-09-30,17.27,$2.06,8.4
2020-06-30,17.34,$0.52,33.24
2020-03-31,13.8,$-0.31,0.0
2019-09-30,23.26,$0.07,337.06
2019-06-30,27.79,$3.87,7.18
2019-03-31,26.27,$4.68,5.61
2018-12-31,23.33,$5.52,4.22
2018-09-30,23.71,$6.09,3.89
2019-12-31,21.16,$2.71,7.82
2018-06-30,24.8,$2.96,8.39
2018-03-31,26.64,$2.42,11.02
2017-12-31,30.41,$1.68,18.13
2017-09-30,31.07,$1.90,16.38
2017-06-30,31.13,$2.52,12.36
2017-03-31,29.16,$3.16,9.21
2016-12-31,27.25,$3.10,8.8
2016-09-30,24.37,$2.79,8.73
2016-06-30,22.74,$2.57,8.84
2016-03-31,26.46,$2.46,10.78
2015-12-31,24.84,$3.12,7.97
2015-09-30,25.01,$3.55,7.04
2015-06-30,32.78,$4.02,8.16
2015-03-31,34.21,$4.13,8.29
2014-12-31,36.8,$3.74,9.84
2014-09-30,35.88,$3.33,10.76
2014-06-30,37.92,$2.97,12.76
2014-03-31,35.45,$2.92,12.16
2013-12-31,37.69,$3.17,11.87
2013-09-30,32.93,$3.11,10.58
2013-06-30,29.48,$2.59,11.37
2013-03-31,32.61,$2.04,16.02
2012-12-31,27.13,$1.75,15.5
2012-09-30,26.32,$1.54,17.14
2012-06-30,23.31,$2.13,10.94
2012-03-31,25.98,$2.27,11.42
2011-12-31,20.08,$2.17,9.26
2011-09-30,19.51,$2.24,8.72
2011-06-30,26.72,$1.84,14.55
2011-03-31,25.4,$1.99,12.74
2010-12-31,22.54,$2.17,10.37
2010-09-30,21.62,$2.34,9.25
2010-06-30,17.39,$2.09,8.32
2010-03-31,22.32,$1.52,14.69
2009-12-31,21.17,$1.31,16.21
