Rollins Price to Free Cash Flow Ratio Historical Data,Rollins Price to Free Cash Flow Ratio Historical Data,Rollins Price to Free Cash Flow Ratio Historical Data,Rollins Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,50.18,,46.6
2024-06-30,48.64,$1.08,45.16
2024-03-31,45.98,$1.08,42.57
2023-12-31,43.24,$1.04,41.68
2023-09-30,36.81,$0.99,37.29
2023-06-30,42.1,$1.00,42.19
2023-03-31,36.78,$0.96,38.45
2022-12-31,35.68,$0.91,39.05
2022-09-30,33.76,$1.01,33.26
2022-06-30,33.9,$0.76,44.51
2022-03-31,33.92,$0.72,47.28
2021-12-31,33.0,$0.91,36.17
2021-09-30,33.91,$0.76,44.6
2021-06-30,32.76,$0.96,34.06
2021-03-31,32.9,$1.04,31.65
2020-12-31,37.26,$0.85,43.59
2020-09-30,34.33,$0.80,42.83
2020-06-30,26.82,$0.79,33.87
2020-03-31,22.82,$0.66,34.47
2019-12-31,20.87,$0.60,34.85
2019-09-30,21.36,$0.62,34.32
2019-06-30,22.42,$0.58,38.42
2019-03-31,25.94,$0.53,48.54
2018-12-31,22.43,$0.56,40.19
2018-09-30,25.03,$0.47,52.84
2018-06-30,21.63,$0.45,48.56
2018-03-31,20.94,$0.46,45.37
2017-12-31,19.03,$0.43,44.23
2017-09-30,18.78,$0.48,39.03
2017-06-30,16.53,$0.46,35.68
2017-03-31,15.03,$0.44,34.47
2016-12-31,13.63,$0.40,34.31
2016-09-30,11.74,$0.36,32.84
2016-06-30,11.69,$0.33,34.92
2016-03-31,10.79,$0.32,33.98
2015-12-31,10.27,$0.32,31.64
2015-09-30,10.58,$0.30,35.19
2015-06-30,11.2,$0.33,34.35
2015-03-31,9.68,$0.34,28.48
2014-12-31,8.61,$0.34,25.29
2014-09-30,7.57,$0.33,22.59
2014-06-30,7.72,$0.32,23.86
2014-03-31,7.76,$0.30,26.12
2013-12-31,7.74,$0.29,26.43
2013-09-30,6.75,$0.26,25.89
2013-06-30,6.57,$0.24,26.98
2013-03-31,6.21,$0.25,24.79
2012-12-31,5.55,$0.25,22.31
2012-09-30,5.86,$0.29,20.23
2012-06-30,5.59,$0.28,20.29
2012-03-31,5.3,$0.28,18.68
2011-12-31,5.51,$0.28,19.99
2011-09-30,4.63,$0.26,18.08
2011-06-30,5.02,$0.25,20.27
2011-03-31,4.98,$0.23,21.81
2010-12-31,4.83,$0.22,21.76
2010-09-30,3.8,$0.20,19.32
2010-06-30,3.35,$0.18,18.35
2010-03-31,3.49,$0.21,16.8
2009-12-31,3.09,$0.19,16.4
