VeriSign Price to Free Cash Flow Ratio Historical Data,VeriSign Price to Free Cash Flow Ratio Historical Data,VeriSign Price to Free Cash Flow Ratio Historical Data,VeriSign Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,183.9,,109.76
2024-06-30,177.8,$1.68,106.12
2023-12-31,205.96,$7.81,26.38
2023-09-30,202.53,$7.80,25.96
2023-06-30,225.97,$8.09,27.92
2023-03-31,211.33,$8.04,26.3
2022-12-31,205.44,$7.44,27.61
2022-09-30,173.7,$7.25,23.95
2022-06-30,167.33,$7.03,23.82
2022-03-31,222.46,$6.85,32.48
2021-12-31,253.82,$6.72,37.76
2021-09-30,205.01,$6.64,30.87
2021-06-30,227.69,$5.54,41.12
2021-03-31,198.76,$6.20,32.06
2020-12-31,216.4,$5.96,36.33
2020-09-30,204.85,$5.88,34.87
2020-06-30,206.83,$6.45,32.07
2020-03-31,180.09,$5.97,30.19
2019-12-31,192.68,$6.00,32.12
2019-09-30,188.63,$6.17,30.58
2019-06-30,209.16,$5.95,35.15
2019-03-31,181.56,$6.20,29.28
2018-12-31,148.29,$5.39,27.53
2018-09-30,160.12,$5.21,30.75
2018-06-30,137.42,$4.98,27.61
2018-03-31,118.56,$4.81,24.63
2017-12-31,114.44,$5.26,21.75
2017-09-30,106.39,$5.24,20.31
2017-06-30,92.96,$5.35,17.38
2017-03-31,87.11,$5.20,16.74
2016-12-31,76.07,$5.17,14.71
2016-09-30,78.24,$5.10,15.35
2016-06-30,86.46,$4.91,17.61
2016-03-31,88.54,$4.92,18.0
2015-12-31,87.36,$4.73,18.47
2015-09-30,70.56,$4.38,16.1
2015-06-30,61.72,$4.40,14.02
2015-03-31,66.97,$4.00,16.73
2014-12-31,57.0,$3.99,14.3
2014-09-30,55.12,$3.70,14.89
2014-06-30,48.81,$3.39,14.41
2014-03-31,53.91,$3.35,16.1
2013-12-31,59.78,$3.30,18.13
2013-09-30,50.89,$3.49,14.58
2013-06-30,44.66,$3.26,13.7
2013-03-31,47.27,$3.19,14.83
2012-12-31,38.82,$2.96,13.13
2012-09-30,48.69,$1.92,25.4
2012-06-30,43.57,$1.75,24.87
2012-03-31,38.35,$1.02,37.54
2011-12-31,35.72,$0.86,41.62
2011-09-30,28.61,$1.09,26.33
2011-06-30,33.46,$0.06,584.97
2011-03-31,33.55,$0.75,44.96
2010-12-31,30.27,$0.75,40.22
2010-09-30,27.03,$1.26,21.52
2010-06-30,22.61,$2.21,10.22
2010-03-31,22.16,$1.84,12.03
2009-12-31,20.64,$1.49,13.84
2009-09-30,20.17,$3.32,6.08
