Valero Energy Price to Free Cash Flow Ratio Historical Data,Valero Energy Price to Free Cash Flow Ratio Historical Data,Valero Energy Price to Free Cash Flow Ratio Historical Data,Valero Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,146.73,,7.13
2024-06-30,155.7,$20.59,7.56
2024-03-31,169.53,$17.98,9.43
2023-12-31,128.13,$20.88,6.14
2023-09-30,138.51,$27.51,5.04
2023-06-30,113.73,$23.18,4.91
2023-03-31,134.14,$32.36,4.15
2022-12-31,121.02,$24.99,4.84
2022-09-30,101.2,$22.02,4.6
2022-06-30,99.75,$19.24,5.19
2022-03-31,94.53,$10.50,9.01
2021-12-31,69.15,$9.03,7.65
2021-09-30,64.11,$2.97,21.57
2021-06-30,69.87,$-0.00,0.0
2021-03-31,63.3,$-13.10,0.0
2020-12-31,49.27,$-9.44,0.0
2020-09-30,37.06,$-3.33,0.0
2020-06-30,49.42,$-2.53,0.0
2019-12-31,76.52,$8.54,8.96
2019-09-30,69.01,$13.16,5.24
2019-06-30,68.49,$8.40,8.16
2019-03-31,67.14,$7.27,9.23
2018-12-31,58.7,$10.05,5.84
2020-03-31,37.49,$2.17,17.3
2018-09-30,88.18,$4.84,18.22
2018-06-30,85.33,$9.70,8.8
2018-03-31,70.93,$7.50,9.45
2017-12-31,69.64,$9.38,7.43
2017-09-30,57.8,$9.23,6.26
2017-03-31,48.78,$8.52,5.73
2016-12-31,49.75,$7.63,6.52
2016-09-30,38.23,$9.35,4.09
2016-06-30,36.38,$5.01,7.26
2016-03-31,45.25,$2.90,15.61
2015-12-31,49.36,$6.10,8.1
2017-06-30,50.17,$4.96,10.11
2015-09-30,41.66,$8.53,4.88
2015-06-30,43.13,$8.92,4.84
2015-03-31,43.54,$6.10,7.14
2014-12-31,33.63,$3.94,8.54
2014-09-30,31.26,$7.19,4.35
2014-06-30,33.68,$4.15,8.11
2014-03-31,35.53,$4.27,8.33
2013-12-31,33.55,$6.28,5.34
2013-09-30,22.62,$1.61,14.08
2013-06-30,22.89,$4.58,4.99
2013-03-31,27.32,$4.47,6.11
2012-12-31,20.41,$4.21,4.85
2012-09-30,18.84,$3.20,5.88
2012-06-30,14.27,$2.05,6.97
2012-03-31,15.13,$1.62,9.36
2011-12-31,12.28,$2.96,4.15
2011-09-30,10.31,$4.68,2.2
2011-06-30,14.79,$4.04,3.66
2011-03-31,17.22,$4.07,4.23
2010-12-31,13.33,$2.32,5.76
2010-09-30,10.07,$1.35,7.45
2010-06-30,10.31,$0.74,13.97
2010-03-31,11.26,$0.09,130.66
2009-12-31,9.55,$-0.89,0.0
