NiSource Price to Free Cash Flow Ratio Historical Data,NiSource Price to Free Cash Flow Ratio Historical Data,NiSource Price to Free Cash Flow Ratio Historical Data,NiSource Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,33.06,,0.0
2024-06-30,28.57,$-2.36,0.0
2024-03-31,27.17,$-2.17,0.0
2023-12-31,25.81,$-1.59,0.0
2023-09-30,23.76,$-1.48,0.0
2023-06-30,26.09,$-1.71,0.0
2023-03-31,26.44,$-1.80,0.0
2022-12-31,25.7,$-1.79,0.0
2022-09-30,23.39,$-1.76,0.0
2022-06-30,27.17,$-1.28,0.0
2022-03-31,29.08,$-1.40,0.0
2021-12-31,25.04,$-1.49,0.0
2021-09-30,21.78,$1.51,14.42
2021-06-30,21.83,$1.27,17.22
2021-03-31,21.3,$1.62,13.13
2020-12-31,20.07,$1.20,16.7
2020-09-30,19.07,$-1.50,0.0
2020-06-30,19.55,$-1.09,0.0
2020-03-31,21.29,$-0.92,0.0
2019-12-31,23.58,$-0.58,0.0
2019-09-30,25.15,$-2.77,0.0
2019-06-30,24.05,$-3.29,0.0
2019-03-31,23.76,$-3.51,0.0
2018-12-31,20.86,$-3.58,0.0
2018-09-30,20.35,$-1.83,0.0
2018-06-30,21.3,$-2.70,0.0
2018-03-31,19.23,$-3.13,0.0
2017-12-31,20.46,$-2.88,0.0
2017-09-30,20.27,$-2.44,0.0
2017-06-30,19.95,$-1.75,0.0
2017-03-31,18.58,$-1.78,0.0
2016-12-31,17.16,$-2.08,0.0
2016-09-30,18.55,$-2.26,0.0
2016-06-30,20.27,$-2.04,0.0
2016-03-31,17.88,$-0.84,0.0
2015-12-31,14.7,$0.30,48.93
2015-09-30,13.87,$1.06,13.14
2015-06-30,13.06,$2.51,5.21
2015-03-31,12.58,$1.22,10.33
2014-12-31,12.01,$0.12,102.48
2014-09-30,11.53,$1.30,8.84
2014-06-30,11.0,$-0.17,0.0
2014-03-31,9.86,$0.53,18.56
2013-12-31,9.06,$0.75,12.12
2013-09-30,8.45,$-1.11,0.0
2013-06-30,7.77,$-0.89,0.0
2013-03-31,7.9,$-1.05,0.0
2012-12-31,6.64,$-0.66,0.0
2012-09-30,6.73,$-1.13,0.0
2012-06-30,6.48,$-1.36,0.0
2012-03-31,6.32,$-0.96,0.0
2011-12-31,6.11,$-0.84,0.0
2011-09-30,5.43,$0.62,8.74
2011-06-30,5.09,$0.54,9.42
2011-03-31,4.76,$0.70,6.85
2010-12-31,4.32,$-0.27,0.0
2010-09-30,4.21,$0.50,8.36
2010-06-30,3.46,$0.36,9.51
2010-03-31,3.72,$-0.04,0.0
2009-12-31,3.57,$3.24,1.1
