Molina Healthcare Price to Free Cash Flow Ratio Historical Data,Molina Healthcare Price to Free Cash Flow Ratio Historical Data,Molina Healthcare Price to Free Cash Flow Ratio Historical Data,Molina Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,349.79,,116.48
2024-06-30,297.3,$3.00,99.0
2024-03-31,410.83,$15.13,27.16
2023-12-31,361.31,$27.16,13.3
2023-09-30,327.89,$35.10,9.34
2023-06-30,301.24,$23.14,13.02
2023-03-31,267.49,$21.11,12.67
2022-12-31,330.22,$11.66,28.33
2022-09-30,329.84,$25.29,13.04
2022-06-30,279.61,$28.84,9.7
2022-03-31,333.59,$31.22,10.69
2021-12-31,318.08,$34.85,9.13
2021-09-30,271.31,$46.53,5.83
2021-06-30,253.06,$36.14,7.0
2021-03-31,233.76,$37.87,6.17
2020-12-31,212.68,$30.45,6.98
2020-09-30,183.04,$9.06,20.2
2020-06-30,177.98,$15.73,11.31
2020-03-31,139.71,$4.20,33.25
2019-12-31,135.69,$5.87,23.11
2019-09-30,109.72,$3.82,28.74
2019-06-30,143.14,$-7.51,0.0
2019-03-31,141.96,$-7.45,0.0
2018-12-31,116.22,$-5.13,0.0
2018-09-30,148.7,$-5.78,0.0
2018-06-30,97.94,$6.39,15.33
2018-03-31,81.18,$6.43,12.63
2017-12-31,76.68,$12.82,5.98
2017-09-30,68.76,$15.53,4.43
2017-06-30,69.18,$16.57,4.17
2017-03-31,45.6,$19.59,2.33
2016-12-31,54.26,$8.84,6.14
2016-09-30,58.32,$13.07,4.46
2016-06-30,49.9,$10.15,4.91
2016-03-31,64.49,$-0.32,0.0
2015-12-31,60.13,$1.91,31.41
2015-09-30,68.85,$9.30,7.41
2015-06-30,70.3,$6.71,10.47
2014-12-31,53.53,$19.69,2.72
2014-09-30,42.3,$7.19,5.88
2014-06-30,44.63,$6.08,7.34
2014-03-31,37.56,$10.19,3.69
2013-12-31,34.75,$2.77,12.54
2015-03-31,67.29,$11.59,5.81
2013-09-30,35.6,$2.23,15.95
2013-06-30,37.18,$-1.80,0.0
2013-03-31,30.87,$5.14,6.01
2012-12-31,27.06,$5.74,4.72
2012-09-30,25.15,$5.70,4.41
2012-06-30,23.46,$6.11,3.84
2012-03-31,33.63,$2.85,11.82
2011-12-31,22.33,$3.55,6.29
2011-09-30,15.44,$5.60,2.76
2011-06-30,27.12,$4.30,6.3
2011-03-31,26.67,$5.04,5.29
2010-12-31,18.57,$2.71,6.85
2010-09-30,17.99,$-0.11,0.0
2010-06-30,19.2,$1.86,10.32
2010-03-31,16.78,$2.24,7.51
2009-12-31,15.25,$5.00,3.05
