AT&T Price to Free Cash Flow Ratio Historical Data,AT&T Price to Free Cash Flow Ratio Historical Data,AT&T Price to Free Cash Flow Ratio Historical Data,AT&T Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,19.9,,6.89
2024-06-30,18.83,$2.89,6.52
2024-03-31,17.06,$1.21,14.07
2023-12-31,16.01,$1.50,10.65
2023-09-30,14.06,$1.13,12.44
2023-06-30,14.67,$0.71,20.71
2022-12-31,16.45,$2.13,7.71
2022-09-30,13.47,$3.89,3.47
2022-06-30,18.16,$3.66,4.97
2022-03-31,15.37,$3.93,3.91
2021-12-31,15.69,$4.36,3.6
2023-03-31,17.45,$2.58,6.75
2021-09-30,16.91,$2.57,6.58
2021-06-30,17.69,$3.08,5.74
2021-03-31,18.29,$3.30,5.54
2020-12-31,17.07,$3.05,5.59
2020-09-30,16.62,$3.87,4.3
2020-06-30,17.32,$3.54,4.89
2020-03-31,16.41,$3.68,4.45
2019-12-31,21.71,$3.95,5.49
2019-09-30,20.74,$4.10,5.06
2019-06-30,18.09,$4.01,4.51
2019-03-31,16.66,$3.61,4.62
2018-12-31,14.91,$3.28,4.54
2018-09-30,17.28,$2.78,6.22
2018-06-30,16.27,$2.98,5.46
2018-03-31,17.82,$2.78,6.41
2017-12-31,19.17,$2.81,6.83
2017-09-30,19.07,$2.54,7.5
2017-06-30,18.13,$2.48,7.31
2017-03-31,19.73,$0.30,66.22
2016-12-31,19.96,$0.49,40.7
2016-09-30,18.83,$0.80,23.57
2016-06-30,19.81,$0.82,24.19
2015-12-31,15.37,$2.95,5.21
2015-09-30,14.35,$3.63,3.95
2015-06-30,15.43,$3.39,4.55
2015-03-31,13.99,$3.10,4.51
2014-12-31,14.19,$2.96,4.8
2016-03-31,17.74,$2.16,8.21
2014-09-30,14.69,$2.05,7.15
2014-06-30,14.55,$2.08,6.99
2014-03-31,14.25,$2.45,5.82
2013-12-31,14.1,$2.57,5.48
2013-09-30,13.38,$2.91,4.59
2013-06-30,13.83,$3.42,4.05
2013-03-31,14.16,$3.50,4.05
2012-12-31,12.84,$3.39,3.79
2012-09-30,14.2,$2.95,4.81
2012-06-30,13.26,$2.69,4.94
2012-03-31,11.45,$2.46,4.66
2011-12-31,10.93,$2.46,4.44
2011-09-30,10.15,$2.70,3.77
2011-06-30,11.03,$2.54,4.35
2011-03-31,10.6,$2.56,4.14
2010-12-31,10.03,$2.64,3.79
2010-09-30,9.62,$2.63,3.66
2010-06-30,8.0,$2.88,2.78
2010-03-31,8.41,$2.90,2.9
2009-12-31,8.98,$3.01,2.98
