Fox Price to Free Cash Flow Ratio Historical Data,Fox Price to Free Cash Flow Ratio Historical Data,Fox Price to Free Cash Flow Ratio Historical Data,Fox Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,41.37,,13.28
2024-06-30,34.37,$3.11,11.04
2024-03-31,31.27,$2.15,14.52
2023-12-31,29.67,$2.06,14.41
2023-09-30,31.2,$2.22,14.05
2023-06-30,34.0,$2.72,12.51
2023-03-31,34.05,$3.48,9.78
2022-12-31,30.37,$3.36,9.04
2022-09-30,30.68,$3.16,9.7
2022-06-30,31.93,$2.77,11.54
2022-03-31,39.16,$2.38,16.48
2021-12-31,36.42,$2.27,16.01
2021-09-30,39.59,$3.33,11.88
2021-06-30,36.41,$3.62,10.05
2021-03-31,35.41,$3.96,8.95
2020-12-31,28.4,$3.84,7.4
2020-09-30,27.14,$3.24,8.37
2020-06-30,25.94,$3.26,7.96
2020-03-31,22.85,$3.19,7.16
2019-12-31,35.58,$3.18,11.19
2019-09-30,30.27,$3.62,8.37
2019-06-30,34.93,$3.69,9.48
2019-03-31,34.78,$1.35,25.71
2018-12-31,45.59,$-0.08,0.0
2018-09-30,43.89,$0.33,132.97
2018-06-30,46.89,0,0.0
