Campbell Soup Price to Free Cash Flow Ratio Historical Data,Campbell Soup Price to Free Cash Flow Ratio Historical Data,Campbell Soup Price to Free Cash Flow Ratio Historical Data,Campbell Soup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,49.72,,23.58
2024-04-30,45.34,$2.11,21.5
2024-01-31,43.89,$2.06,21.31
2023-10-31,39.41,$2.17,18.13
2023-07-31,44.28,$2.57,17.24
2023-04-30,52.05,$2.25,23.11
2023-01-31,49.45,$2.92,16.91
2022-10-31,50.05,$2.88,17.35
2022-07-31,46.32,$3.11,14.9
2022-04-30,43.99,$3.28,13.41
2022-01-31,40.76,$3.02,13.48
2021-10-31,36.61,$2.87,12.77
2021-07-31,39.71,$2.49,15.94
2021-04-30,43.02,$2.90,14.85
2021-01-31,43.02,$3.55,12.13
2020-10-31,41.41,$3.67,11.27
2020-07-31,43.66,$3.61,12.1
2020-04-30,43.72,$3.34,13.07
2020-01-31,42.01,$2.76,15.22
2019-10-31,39.92,$3.24,12.3
2019-07-31,35.37,$3.36,10.53
2019-04-30,32.82,$3.30,9.94
2019-01-31,29.79,$3.45,8.64
2018-10-31,31.45,$0.26,122.81
2018-07-31,34.07,$0.31,111.04
2018-04-30,33.68,$0.89,37.95
2018-01-31,38.13,$1.20,31.88
2017-07-31,42.64,$3.11,13.69
2017-04-30,46.12,$5.96,7.74
2017-01-31,49.57,$5.50,9.01
2016-10-31,43.04,$5.53,7.78
2016-07-31,49.0,$6.35,7.71
2017-10-31,38.52,$3.62,10.65
2016-04-30,48.33,$3.51,13.78
2016-01-31,43.97,$3.20,13.76
2015-10-31,39.34,$2.83,13.9
2015-07-31,37.97,$2.69,14.13
2015-04-30,34.2,$2.33,14.65
2015-01-31,34.75,$2.44,14.26
2014-10-31,33.33,$2.28,14.63
2014-07-31,31.15,$1.82,17.15
2014-04-30,33.85,$1.93,17.57
2014-01-31,30.45,$1.74,17.5
2013-10-31,31.22,$1.99,15.69
2013-07-31,34.06,$2.17,15.69
2013-04-30,33.56,$2.50,13.43
2013-01-31,26.54,$2.55,10.42
2012-10-31,24.89,$2.52,9.88
2012-07-31,23.18,$2.50,9.27
2012-04-30,23.48,$2.49,9.41
2012-01-31,21.81,$2.61,8.37
2011-10-31,22.68,$2.93,7.73
2011-07-31,22.34,$2.67,8.36
2011-04-30,22.52,$2.46,9.14
2011-01-31,22.69,$2.30,9.85
2010-10-31,23.89,$2.29,10.44
2010-07-31,23.48,$2.20,10.67
2010-04-30,23.27,$2.53,9.19
2010-01-31,21.32,$2.59,8.25
2009-10-31,20.28,$2.09,9.7
