Hasbro Price to Free Cash Flow Ratio Historical Data,Hasbro Price to Free Cash Flow Ratio Historical Data,Hasbro Price to Free Cash Flow Ratio Historical Data,Hasbro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,68.16,,12.22
2024-06-30,57.89,$5.58,10.38
2024-03-31,55.3,$4.41,12.54
2023-12-31,49.25,$3.72,13.24
2023-09-30,62.83,$1.74,36.14
2023-06-30,60.87,$0.96,63.11
2023-03-31,49.86,$-3.26,0.0
2022-12-31,56.0,$-2.81,0.0
2022-09-30,61.23,$-2.78,0.0
2022-06-30,73.7,$-2.04,0.0
2021-12-31,90.23,$4.95,18.22
2021-09-30,78.54,$9.67,8.12
2021-06-30,82.64,$9.91,8.34
2021-03-31,83.47,$10.25,8.14
2020-12-31,80.64,$7.20,11.19
2022-03-31,73.16,$3.68,19.88
2020-09-30,70.73,$4.62,15.31
2020-06-30,63.5,$3.27,19.44
2020-03-31,60.05,$4.06,14.8
2019-12-31,88.05,$4.04,21.78
2019-09-30,98.27,$5.80,16.94
2019-06-30,87.01,$4.86,17.89
2019-03-31,69.54,$3.58,19.42
2018-12-31,66.0,$4.01,16.46
2018-09-30,84.8,$4.42,19.2
2018-06-30,74.0,$3.63,20.41
2018-03-31,67.1,$3.96,16.96
2017-12-31,71.91,$4.64,15.5
2017-09-30,76.8,$5.27,14.58
2017-06-30,87.21,$5.69,15.34
2017-03-31,77.63,$6.00,12.95
2016-12-31,60.13,$5.22,11.53
2016-09-30,60.95,$4.34,14.03
2016-06-30,64.12,$3.95,16.25
2016-03-31,60.79,$3.36,18.08
2015-12-31,50.81,$3.39,14.99
2015-09-30,54.09,$2.30,23.5
2015-06-30,55.76,$3.51,15.87
2015-03-31,46.84,$3.22,14.55
2014-12-31,40.42,$2.63,15.39
2014-09-30,40.12,$-0.91,0.0
2014-06-30,38.37,$2.12,18.14
2014-03-31,39.92,$2.71,14.74
2013-12-31,39.16,$0.17,225.21
2012-12-31,24.94,$3.20,7.78
2012-09-30,26.0,$2.97,8.75
2012-06-30,22.85,$3.88,5.89
2012-03-31,24.53,$3.68,6.67
2011-12-31,21.12,$0.41,50.98
2013-09-30,33.31,$-0.23,0.0
2011-09-30,21.43,$1.72,12.43
2011-06-30,28.65,$0.44,64.59
2011-03-31,30.35,$2.73,11.14
2010-12-31,30.39,$0.14,220.09
2010-09-30,28.52,$-0.49,0.0
2013-06-30,31.4,$4.78,6.56
2010-06-30,26.18,$3.40,7.7
2010-03-31,24.23,$0.56,43.31
2009-12-31,20.16,$1.06,19.07
2009-09-30,17.32,$-2.17,0.0
