A O Smith Price to Free Cash Flow Ratio Historical Data,A O Smith Price to Free Cash Flow Ratio Historical Data,A O Smith Price to Free Cash Flow Ratio Historical Data,A O Smith Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,83.72,,26.1
2024-06-30,81.47,$3.21,25.4
2024-03-31,88.79,$3.81,23.31
2023-12-31,81.49,$3.96,20.59
2023-09-30,65.07,$3.63,17.95
2023-06-30,71.32,$3.47,20.57
2023-03-31,67.47,$2.76,24.47
2022-12-31,55.57,$2.06,26.96
2022-09-30,46.9,$2.50,18.75
2022-06-30,52.55,$2.64,19.92
2022-03-31,61.11,$3.00,20.41
2021-12-31,81.82,$3.51,23.32
2021-09-30,57.97,$3.36,17.23
2021-06-30,68.15,$3.18,21.45
2021-03-31,63.7,$3.39,18.79
2020-12-31,51.42,$3.11,16.55
2020-09-30,49.28,$2.77,17.79
2020-06-30,43.76,$2.67,16.42
2020-03-31,34.93,$2.60,13.43
2019-12-31,43.76,$2.35,18.62
2019-09-30,43.62,$2.16,20.2
2019-06-30,42.91,$1.98,21.72
2019-03-31,48.32,$1.97,24.57
2018-12-31,38.52,$2.11,18.24
2018-09-30,47.92,$2.19,21.88
2018-06-30,52.94,$1.89,27.97
2018-03-31,56.75,$1.64,34.59
2017-12-31,54.54,$1.33,41.01
2017-09-30,52.77,$1.39,37.99
2017-06-30,49.89,$1.62,30.85
2017-03-31,45.19,$1.87,24.19
2016-12-31,41.71,$2.07,20.15
2016-09-30,43.39,$1.69,25.68
2016-06-30,38.6,$2.05,18.8
2016-03-31,33.33,$1.68,19.8
2015-12-31,33.34,$1.56,21.39
2015-09-30,28.3,$1.47,19.29
2015-06-30,31.17,$0.93,33.45
2015-03-31,28.35,$0.97,29.34
2014-12-31,24.28,$0.98,24.84
2014-09-30,20.29,$0.86,23.58
2014-06-30,21.21,$0.84,25.38
2014-03-31,19.63,$0.83,23.73
2013-12-31,22.93,$0.98,23.39
2013-09-30,19.17,$0.90,21.31
2013-06-30,15.34,$0.90,17.07
2013-03-31,15.5,$0.45,34.54
2012-12-31,13.25,$0.97,13.73
2012-09-30,12.05,$0.75,15.98
2012-06-30,10.2,$0.20,50.07
2011-12-31,8.31,$0.03,297.88
2011-09-30,6.61,$-0.14,0.0
2011-06-30,8.69,$-0.21,0.0
2011-03-31,9.08,$0.02,398.39
2010-12-31,7.78,$0.68,11.48
2012-03-31,9.35,$0.13,73.77
2010-09-30,7.86,$0.57,13.79
2010-06-30,6.53,$0.93,7.02
2010-03-31,7.1,$1.24,5.71
2009-12-31,5.85,$1.20,4.87
