LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data,LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data,LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data,LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,98.7,,12.57
2024-06-30,94.37,$7.85,12.02
2024-03-31,100.9,$8.23,12.25
2023-12-31,92.63,$10.46,8.85
2023-09-30,91.05,$10.78,8.45
2023-06-30,87.16,$9.81,8.88
2023-03-31,87.86,$10.08,8.72
2022-12-31,76.76,$12.89,5.95
2022-09-30,68.65,$16.67,4.12
2022-06-30,78.68,$18.61,4.23
2022-03-31,87.31,$19.69,4.43
2021-12-31,77.41,$17.17,4.51
2021-09-30,77.79,$11.38,6.84
2021-06-30,84.34,$7.69,10.97
2021-03-31,84.49,$5.41,15.62
2020-12-31,73.71,$4.36,16.9
2020-09-30,56.02,$4.17,13.43
2020-06-30,51.43,$6.50,7.92
2020-03-31,38.3,$5.91,6.48
2019-12-31,71.86,$6.42,11.19
2019-09-30,67.29,$6.77,9.94
2019-06-30,63.88,$5.72,11.16
2019-03-31,61.54,$7.35,8.38
2018-12-31,51.2,$8.65,5.92
2018-09-30,62.38,$9.74,6.41
2018-06-30,66.25,$10.28,6.45
2018-03-31,63.2,$9.99,6.32
2017-12-31,65.36,$9.17,7.13
2017-09-30,58.18,$9.18,6.34
2017-06-30,49.08,$8.05,6.09
2017-03-31,52.45,$6.86,7.64
2016-12-31,48.89,$8.01,6.11
2016-09-30,45.52,$6.76,6.74
2016-06-30,41.53,$7.97,5.21
2016-03-31,47.26,$8.81,5.36
2015-12-31,47.52,$9.45,5.03
2015-09-30,45.2,$11.04,4.09
2015-06-30,55.59,$10.18,5.46
2015-03-31,46.79,$10.31,4.54
2014-12-31,41.97,$8.73,4.81
2014-09-30,57.0,$8.02,7.11
2014-06-30,50.91,$7.04,7.23
2014-03-31,46.02,$5.87,7.83
2013-12-31,41.25,$5.74,7.18
2013-09-30,37.34,$5.18,7.21
2013-06-30,33.56,$6.99,4.8
2013-03-31,31.82,$5.97,5.33
2012-12-31,28.5,$6.46,4.41
2012-09-30,24.12,$4.39,5.49
2012-06-30,18.65,$3.49,5.34
2012-03-31,20.0,$4.47,4.47
2011-12-31,14.8,$3.29,4.5
2011-09-30,9.6,$4.86,1.97
2011-06-30,15.04,$4.40,3.42
2011-03-31,15.41,$2.68,5.75
