Assurant Price to Free Cash Flow Ratio Historical Data,Assurant Price to Free Cash Flow Ratio Historical Data,Assurant Price to Free Cash Flow Ratio Historical Data,Assurant Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,196.35,,8.19
2024-06-30,166.25,$23.99,6.93
2024-03-31,187.46,$14.06,13.33
2023-12-31,167.07,$17.40,9.6
2023-09-30,141.75,$15.73,9.01
2023-06-30,123.5,$21.49,5.75
2023-03-31,117.29,$21.08,5.56
2022-12-31,121.5,$7.50,16.21
2022-09-30,140.37,$6.67,21.04
2022-06-30,166.32,$-4.90,0.0
2022-03-31,174.31,$7.65,22.78
2021-12-31,148.81,$9.88,15.05
2021-09-30,149.97,$12.40,12.1
2021-06-30,147.9,$22.68,6.52
2021-03-31,133.7,$14.17,9.44
2020-12-31,127.79,$19.32,6.61
2020-09-30,113.24,$16.73,6.77
2020-06-30,95.93,$14.57,6.59
2020-03-31,96.07,$15.39,6.24
2019-12-31,120.44,$20.91,5.76
2019-09-30,115.06,$21.19,5.43
2019-06-30,96.8,$17.52,5.52
2019-03-31,85.85,$14.60,5.88
2018-12-31,80.41,$9.64,8.34
2018-09-30,96.46,$9.22,10.46
2018-06-30,91.98,$11.85,7.76
2018-03-31,80.77,$7.07,11.42
2017-12-31,88.55,$8.94,9.9
2017-09-30,83.4,$8.52,9.79
2017-06-30,90.05,$5.74,15.7
2017-03-31,82.64,$6.14,13.46
2016-12-31,79.79,$0.38,211.19
2016-09-30,78.78,$-7.11,0.0
2016-06-30,73.29,$-5.85,0.0
2016-03-31,65.14,$-1.10,0.0
2015-12-31,67.53,$1.67,40.53
2015-09-30,65.86,$4.56,14.46
2015-06-30,55.63,$2.69,20.69
2015-03-31,50.76,$-0.13,0.0
2014-12-31,56.31,$4.24,13.28
2014-09-30,52.7,$9.79,5.39
2014-06-30,53.5,$12.51,4.28
2014-03-31,52.81,$13.63,3.88
2013-12-31,53.74,$12.58,4.27
2013-09-30,43.47,$11.65,3.73
2013-06-30,40.72,$8.66,4.7
2013-03-31,35.82,$7.88,4.55
2012-12-31,27.48,$7.33,3.75
2012-09-30,29.35,$8.08,3.63
2012-06-30,27.25,$7.16,3.8
2012-03-31,31.48,$6.63,4.75
2011-12-31,31.78,$8.42,3.78
2011-09-30,27.57,$5.55,4.97
2011-06-30,27.78,$4.96,5.6
2011-03-31,29.36,$5.21,5.64
2010-12-31,29.25,$4.39,6.66
2010-09-30,30.77,$4.24,7.26
2010-06-30,26.12,$6.09,4.29
2010-03-31,25.75,$5.10,5.05
2009-12-31,21.98,$1.82,12.08
