Disney Price to Free Cash Flow Ratio Historical Data,Disney Price to Free Cash Flow Ratio Historical Data,Disney Price to Free Cash Flow Ratio Historical Data,Disney Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,90.38,,20.78
2024-06-30,99.29,$4.35,22.83
2024-03-31,122.36,$3.89,31.44
2023-12-31,90.29,$3.33,27.09
2023-09-30,81.05,$2.95,27.46
2023-06-30,89.28,$1.45,61.39
2022-09-30,94.33,$0.58,162.75
2022-06-30,94.4,$0.66,143.2
2022-03-31,137.16,$0.85,162.19
2021-12-31,154.89,$0.81,190.68
2021-09-30,169.17,$1.09,155.56
2021-06-30,175.77,$0.77,227.03
2021-03-31,184.52,$0.74,248.91
2020-12-31,181.18,$1.45,124.84
2020-09-30,124.08,$1.99,62.42
2020-06-30,111.51,$1.75,63.79
2020-03-31,96.6,$-0.48,0.0
2019-12-31,144.63,$0.22,650.61
2019-09-30,129.54,$0.67,194.77
2019-06-30,137.95,$2.12,65.18
2019-03-31,109.69,$5.76,19.06
2018-12-31,108.33,$6.30,17.19
2018-09-30,114.63,$6.52,17.57
2018-06-30,101.92,$6.47,15.75
2018-03-31,97.67,$6.92,14.11
2017-12-31,104.55,$6.10,17.14
2017-09-30,95.09,$5.53,17.21
2017-06-30,101.73,$5.32,19.14
2017-03-31,108.56,$4.74,22.88
2016-12-31,99.78,$4.73,21.11
2016-09-30,88.24,$5.10,17.29
2016-06-30,92.29,$5.16,17.9
2016-03-31,93.69,$6.35,14.77
2015-12-31,99.14,$3.12,31.74
2015-09-30,95.81,$3.67,26.13
2015-06-30,106.39,$2.64,40.27
2023-03-31,100.13,$1.11,90.51
2015-03-31,97.77,$4.06,24.09
2014-12-31,87.79,$3.92,22.4
2014-09-30,81.96,$3.73,21.97
2014-06-30,78.93,$3.52,22.39
2014-03-31,73.71,$3.83,19.22
2013-12-31,70.33,$3.67,19.19
2013-09-30,58.64,$3.69,15.9
2013-06-30,57.42,$3.02,19.01
2013-03-31,51.65,$2.71,19.06
2012-12-31,45.28,$2.03,22.29
2012-09-30,46.82,$2.30,20.34
2012-06-30,43.44,$2.56,16.99
2012-03-31,39.21,$1.96,20.04
2011-12-31,33.59,$2.45,13.7
2011-09-30,26.56,$1.80,14.76
2011-06-30,34.38,$1.97,17.49
2011-03-31,37.95,$2.07,18.3
2010-12-31,33.03,$1.93,17.16
2010-09-30,28.83,$2.29,12.57
2010-06-30,27.44,$2.14,12.83
2010-03-31,30.41,$2.05,14.84
2009-12-31,28.09,$3.40,8.26
2009-09-30,23.66,$1.90,12.44
