Leidos Holdings Price to Free Cash Flow Ratio Historical Data,Leidos Holdings Price to Free Cash Flow Ratio Historical Data,Leidos Holdings Price to Free Cash Flow Ratio Historical Data,Leidos Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,158.51,,15.9
2024-06-30,145.88,$9.97,14.63
2024-03-31,130.74,$8.27,15.81
2023-12-31,107.63,$6.94,15.5
2023-09-30,91.33,$5.86,15.57
2023-06-30,87.35,$5.51,15.84
2023-03-31,90.49,$4.84,18.7
2022-12-31,103.0,$6.30,16.36
2022-09-30,85.36,$7.03,12.15
2022-06-30,97.9,$5.72,17.11
2022-03-31,104.62,$5.48,19.09
2021-12-31,85.8,$6.50,13.21
2021-09-30,92.4,$4.46,20.72
2021-06-30,96.81,$4.65,20.82
2021-03-31,91.9,$7.28,12.63
2020-12-31,99.98,$8.08,12.38
2020-09-30,84.52,$8.39,10.07
2020-06-30,88.46,$7.97,11.1
2020-03-31,86.26,$6.54,13.19
2019-12-31,91.79,$6.67,13.76
2019-09-30,80.23,$7.69,10.44
2019-06-30,74.3,$6.41,11.59
2019-03-31,59.39,$6.91,8.6
2018-12-31,48.61,$4.54,10.7
2018-09-30,63.41,$4.81,13.18
2018-06-30,53.85,$4.15,12.99
2018-03-31,59.38,$3.50,16.98
2017-12-31,58.36,$2.94,19.84
2017-09-30,53.26,$3.46,15.38
2017-06-30,46.22,$3.85,11.99
2017-03-31,45.47,$3.76,12.09
2016-12-31,45.2,$4.07,11.11
2016-09-30,38.02,$3.73,10.2
2016-06-30,30.81,$5.39,5.71
2016-03-31,32.17,$6.49,4.96
2015-12-31,35.73,$6.09,5.86
2015-09-30,25.9,$5.10,5.08
2015-06-30,25.11,$3.80,6.61
2015-03-31,25.9,$3.27,7.93
2015-01-31,25.56,$2.24,11.41
2014-10-31,22.41,$2.82,7.93
2014-07-31,22.43,$2.39,9.39
2014-04-30,22.41,$-0.24,0.0
2013-10-31,27.91,$1.38,20.21
2013-07-31,35.99,$0.89,40.57
2013-04-30,32.48,$1.17,27.69
2013-01-31,26.09,$-10.23,0.0
2012-10-31,23.46,$-5.21,0.0
2012-07-31,24.43,$-4.10,0.0
2012-04-30,25.41,$-11.66,0.0
2011-10-31,25.48,$8.06,3.16
2011-07-31,32.86,$6.52,5.04
2011-04-30,35.67,$6.45,5.53
2011-01-31,33.97,$8.03,4.23
2010-10-31,31.86,$3.23,9.87
2010-07-31,34.09,$0.75,45.63
2010-04-30,35.69,$1.13,31.52
2009-10-31,36.31,$4.91,7.4
2009-07-31,37.08,$4.96,7.47
2009-04-30,37.1,$3.97,9.35
2009-01-31,40.47,$2.45,16.55
