Carrier Global Price to Free Cash Flow Ratio Historical Data,Carrier Global Price to Free Cash Flow Ratio Historical Data,Carrier Global Price to Free Cash Flow Ratio Historical Data,Carrier Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,72.78,,27.85
2024-06-30,63.08,$2.61,24.14
2024-03-31,58.13,$2.38,24.45
2023-12-31,57.45,$2.51,22.92
2023-09-30,55.2,$2.67,20.67
2023-06-30,49.71,$2.38,20.93
2023-03-31,45.75,$1.97,23.25
2022-12-31,41.25,$1.61,25.56
2022-09-30,35.56,$1.35,26.38
2022-06-30,35.66,$1.10,32.43
2022-03-31,45.5,$1.68,27.02
2021-12-31,53.8,$2.13,25.3
2021-09-30,51.08,$1.30,39.33
2021-06-30,47.96,$1.73,27.8
2021-03-31,41.45,$1.72,24.17
