Gilead Sciences Price to Free Cash Flow Ratio Historical Data,Gilead Sciences Price to Free Cash Flow Ratio Historical Data,Gilead Sciences Price to Free Cash Flow Ratio Historical Data,Gilead Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,79.0,,14.37
2024-06-30,68.61,$5.50,12.48
2024-03-31,72.39,$6.30,11.5
2023-12-31,79.24,$5.90,13.43
2023-09-30,72.64,$6.24,11.65
2023-06-30,73.98,$7.08,10.45
2023-03-31,78.89,$6.65,11.87
2022-12-31,80.87,$6.61,12.23
2022-09-30,57.63,$7.14,8.07
2022-06-30,57.11,$7.46,7.66
2022-03-31,54.24,$7.89,6.88
2021-12-31,65.43,$8.56,7.64
2021-09-30,62.31,$7.51,8.29
2021-06-30,60.82,$6.70,9.08
2021-03-31,56.49,$6.89,8.19
2020-12-31,50.34,$5.95,8.46
2020-09-30,53.99,$6.41,8.42
2020-06-30,65.07,$6.71,9.69
2020-03-31,62.64,$6.47,9.69
2019-12-31,53.91,$6.51,8.28
2019-09-30,52.1,$6.29,8.28
2019-06-30,55.01,$5.91,9.32
2019-03-31,52.44,$5.20,10.08
2018-12-31,49.97,$5.72,8.74
2018-09-30,61.17,$6.04,10.13
2018-06-30,55.69,$6.41,8.69
2018-03-31,58.8,$8.01,7.34
2017-12-31,55.48,$8.57,6.47
2017-09-30,62.3,$9.00,6.92
2017-06-30,54.09,$10.27,5.27
2017-03-31,51.49,$11.33,4.54
2016-12-31,53.87,$12.00,4.49
2016-09-30,59.15,$13.24,4.47
2016-06-30,61.99,$12.74,4.87
2016-03-31,67.88,$12.73,5.33
2015-12-31,74.42,$13.48,5.52
2015-09-30,71.73,$11.59,6.19
2015-06-30,85.41,$11.32,7.54
2015-03-31,71.32,$10.16,7.02
2014-12-31,68.51,$7.44,9.2
2014-09-30,77.37,$6.13,12.62
2014-06-30,60.26,$4.11,14.65
2014-03-31,51.5,$2.18,23.68
2013-12-31,54.58,$1.72,31.74
2013-09-30,45.7,$1.61,28.37
2013-06-30,37.26,$1.60,23.31
2013-03-31,35.57,$1.87,19.01
2012-12-31,26.69,$1.77,15.1
2012-09-30,24.11,$2.07,11.62
2012-06-30,18.64,$2.22,8.39
2012-03-31,17.76,$2.00,8.88
2011-12-31,14.87,$2.22,6.7
2011-09-30,14.1,$2.00,7.05
2011-06-30,15.05,$1.92,7.86
2011-03-31,15.43,$1.73,8.93
2010-12-31,13.17,$1.59,8.3
2010-09-30,12.94,$2.39,5.42
2010-06-30,12.46,$1.69,7.35
2010-03-31,16.52,$1.63,10.16
2009-12-31,15.72,$1.53,10.31
