Paycom Software Price to Free Cash Flow Ratio Historical Data,Paycom Software Price to Free Cash Flow Ratio Historical Data,Paycom Software Price to Free Cash Flow Ratio Historical Data,Paycom Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,162.78,,29.91
2024-06-30,142.71,$5.44,26.22
2024-03-31,198.12,$5.01,39.53
2023-12-31,205.38,$5.05,40.7
2023-09-30,257.05,$5.21,49.33
2023-06-30,318.07,$5.16,61.67
2023-03-31,300.61,$4.39,68.43
2022-12-31,306.84,$4.00,76.8
2022-09-30,326.3,$3.45,94.59
2022-06-30,276.99,$3.72,74.53
2022-03-31,342.51,$3.74,91.64
2021-12-31,410.55,$3.41,120.25
2021-09-30,490.21,$3.01,163.05
2021-06-30,359.41,$2.78,129.31
2021-03-31,365.92,$2.42,151.3
2020-12-31,447.2,$2.28,195.82
2020-09-30,307.82,$2.18,141.33
2020-06-30,306.27,$1.69,181.59
2020-03-31,199.75,$2.09,95.64
2019-12-31,261.8,$2.25,116.41
2019-09-30,207.15,$2.20,94.1
2019-06-30,224.19,$2.48,90.32
2019-03-31,187.02,$2.60,72.05
2018-12-31,121.08,$2.13,56.79
2018-09-30,153.67,$2.10,73.02
2018-06-30,97.73,$1.79,54.48
2018-03-31,106.19,$1.33,79.69
2017-12-31,79.43,$1.20,66.0
2017-09-30,74.12,$1.05,70.32
2017-06-30,67.65,$0.99,68.27
2017-03-31,56.87,$1.10,51.73
2016-12-31,44.98,$0.94,47.96
2016-09-30,49.57,$0.76,64.92
2016-06-30,42.73,$0.67,64.25
2016-03-31,35.2,$0.64,55.18
2015-12-31,37.21,$0.46,81.56
2015-09-30,35.51,$0.54,65.65
2015-06-30,33.77,$0.53,63.86
2015-03-31,31.7,$0.34,92.26
