Eaton Price to Free Cash Flow Ratio Historical Data,Eaton Price to Free Cash Flow Ratio Historical Data,Eaton Price to Free Cash Flow Ratio Historical Data,Eaton Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,306.93,,38.82
2024-06-30,312.47,$7.91,39.52
2024-03-31,310.69,$7.68,40.46
2023-12-31,238.54,$7.34,32.51
2023-09-30,210.42,$7.07,29.75
2023-06-30,197.61,$6.93,28.52
2023-03-31,167.53,$5.94,28.22
2022-12-31,152.72,$5.23,29.17
2022-09-30,129.09,$4.42,29.22
2022-06-30,121.3,$3.02,40.22
2022-03-31,145.28,$3.54,41.04
2021-12-31,164.54,$4.06,40.49
2021-09-30,141.53,$4.56,31.06
2021-06-30,139.83,$5.76,24.26
2021-03-31,129.81,$6.19,20.96
2020-12-31,112.17,$6.35,17.65
2020-09-30,94.63,$6.10,15.51
2020-06-30,80.56,$6.32,12.75
2020-03-31,70.84,$6.38,11.11
2019-12-31,85.55,$6.81,12.57
2019-09-30,74.49,$6.47,11.51
2019-06-30,73.95,$6.19,11.94
2019-03-31,70.92,$0.93,75.96
2018-12-31,59.91,$1.57,38.28
2018-09-30,75.01,$1.51,49.76
2018-06-30,64.12,$0.51,126.56
2017-12-31,66.64,$4.80,13.88
2017-09-30,64.28,$7.30,8.81
2017-06-30,64.63,$6.30,10.25
2017-03-31,61.09,$6.86,8.91
2016-12-31,54.82,$7.42,7.39
2018-03-31,67.94,$3.95,17.19
2016-09-30,53.19,$4.85,10.96
2016-06-30,47.92,$5.14,9.33
2016-03-31,49.73,$4.74,10.5
2015-12-31,40.96,$4.07,10.05
2015-09-30,39.99,$4.15,9.63
2015-06-30,52.15,$2.63,19.81
2015-03-31,52.08,$2.76,18.88
2014-12-31,51.68,$2.61,19.78
2014-09-30,47.84,$2.49,19.22
2014-06-30,57.85,$3.40,17.02
2014-03-31,55.94,$3.35,16.71
2013-12-31,56.31,$3.51,16.07
2013-09-30,50.63,$3.41,14.85
2013-06-30,48.11,$3.60,13.36
2013-03-31,44.46,$3.60,12.34
2012-12-31,39.06,$3.05,12.8
2012-09-30,33.81,$2.92,11.59
2012-06-30,28.1,$2.90,9.69
2012-03-31,35.04,$2.52,13.9
2011-12-31,30.38,$1.98,15.31
2011-09-30,24.59,$1.98,12.41
2011-06-30,35.36,$1.51,23.46
2011-03-31,37.85,$2.07,18.27
2010-12-31,34.43,$2.62,13.16
2010-09-30,27.81,$2.87,9.68
2010-06-30,21.9,$3.18,6.88
2010-03-31,25.18,$2.88,8.74
2009-12-31,20.98,$3.61,5.81
