Phillips 66 Price to Free Cash Flow Ratio Historical Data,Phillips 66 Price to Free Cash Flow Ratio Historical Data,Phillips 66 Price to Free Cash Flow Ratio Historical Data,Phillips 66 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,140.31,,14.73
2024-06-30,139.95,$9.52,14.7
2024-03-31,160.68,$6.42,25.04
2023-12-31,130.02,$10.17,12.78
2023-09-30,116.26,$15.54,7.48
2023-06-30,91.45,$16.40,5.58
2023-03-31,96.14,$18.25,5.27
2022-12-31,97.67,$18.19,5.37
2022-09-30,75.07,$12.22,6.14
2022-06-30,75.44,$10.96,6.88
2022-03-31,78.67,$11.28,6.98
2021-12-31,65.28,$9.44,6.92
2021-09-30,62.35,$7.01,8.89
2021-06-30,75.43,$3.13,24.13
2021-03-31,70.91,$-4.04,0.0
2020-12-31,60.17,$-2.99,0.0
2020-09-30,43.96,$-1.54,0.0
2020-06-30,60.11,$1.42,42.29
2019-12-31,91.06,$2.06,44.2
2019-09-30,83.06,$13.16,6.31
2019-06-30,75.19,$9.80,7.67
2019-03-31,75.7,$6.58,11.51
2018-12-31,67.96,$13.89,4.89
2020-03-31,44.29,$2.21,20.03
2018-09-30,88.18,$6.50,13.58
2018-06-30,87.26,$6.97,12.52
2018-03-31,74.04,$5.77,12.83
2017-12-31,77.48,$3.50,22.12
2017-09-30,69.65,$0.54,128.67
2017-06-30,62.34,$0.89,70.09
2017-03-31,59.2,$-0.80,0.0
2016-12-31,64.06,$0.22,285.32
2016-09-30,59.26,$-1.30,0.0
2016-06-30,57.91,$-0.90,0.0
2016-03-31,62.7,$-1.50,0.0
2015-12-31,58.78,$-0.09,0.0
2015-09-30,54.88,$1.26,43.46
2015-06-30,57.15,$-1.46,0.0
2015-03-31,55.38,$-1.34,0.0
2014-12-31,50.18,$-0.43,0.0
2014-09-30,56.52,$0.41,136.63
2014-06-30,55.58,$4.89,11.37
2014-03-31,52.93,$5.36,9.87
2013-12-31,52.7,$6.86,7.68
2013-09-30,39.27,$7.15,5.49
2013-06-30,39.8,$7.05,5.65
2013-03-31,47.04,$6.98,6.74
