Mondelez Price to Free Cash Flow Ratio Historical Data,Mondelez Price to Free Cash Flow Ratio Historical Data,Mondelez Price to Free Cash Flow Ratio Historical Data,Mondelez Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,71.81,,27.63
2024-06-30,65.44,$2.60,25.18
2024-03-31,69.55,$2.74,25.43
2023-12-31,71.53,$2.64,27.06
2023-09-30,68.14,$4.11,16.59
2023-06-30,71.18,$2.22,32.08
2023-03-31,67.67,$2.12,31.92
2022-12-31,64.34,$2.20,29.24
2022-09-30,52.62,$1.67,31.52
2022-06-30,59.19,$2.56,23.1
2022-03-31,59.51,$2.64,22.53
2021-12-31,62.51,$2.40,26.05
2021-09-30,54.56,$2.59,21.05
2021-06-30,58.21,$2.36,24.65
2021-03-31,54.29,$2.49,21.84
2020-12-31,53.94,$2.16,24.99
2020-09-30,52.71,$3.32,15.89
2020-06-30,46.66,$2.52,18.54
2020-03-31,45.44,$2.18,20.84
2019-12-31,49.7,$2.14,23.21
2019-09-30,49.66,$2.30,21.56
2019-06-30,48.14,$2.14,22.53
2019-03-31,44.37,$2.24,19.84
2018-12-31,35.39,$2.19,16.18
2018-09-30,37.74,$1.82,20.73
2018-06-30,35.8,$1.68,21.34
2018-03-31,36.24,$1.74,20.88
2017-12-31,36.97,$1.10,33.53
2017-09-30,34.94,$1.00,35.04
2017-06-30,36.92,$1.10,33.71
2017-03-31,36.67,$1.05,34.77
2016-12-31,37.57,$1.11,33.73
2016-09-30,37.04,$1.44,25.69
2016-06-30,38.24,$1.42,27.01
2016-03-31,33.57,$1.34,25.09
2015-12-31,37.36,$1.39,26.9
2015-09-30,34.73,$1.26,27.5
2015-06-30,34.01,$1.19,28.65
2015-03-31,29.73,$1.21,24.52
2014-12-31,29.8,$1.13,26.43
2014-09-30,27.99,$2.69,10.41
2014-06-30,30.59,$2.65,11.56
2014-03-31,28.0,$2.58,10.85
2013-12-31,28.49,$2.76,10.34
2013-09-30,25.26,$0.93,27.07
2013-06-30,22.84,$1.02,22.34
2013-03-31,24.4,$1.69,14.46
2012-12-31,20.2,$1.37,14.77
2012-09-30,21.41,$1.86,11.5
2012-06-30,19.85,$2.02,9.84
2012-03-31,19.39,$1.60,12.09
2011-12-31,18.91,$1.57,12.05
2011-09-30,16.87,$1.31,12.92
2011-06-30,17.55,$0.91,19.3
2011-03-31,15.49,$0.65,24.0
2010-12-31,15.42,$1.19,12.93
2010-09-30,14.96,$0.99,15.13
2010-06-30,13.45,$1.82,7.4
2010-03-31,14.38,$2.26,6.36
2009-12-31,12.81,$2.56,5.0
