FMC Price to Free Cash Flow Ratio Historical Data,FMC Price to Free Cash Flow Ratio Historical Data,FMC Price to Free Cash Flow Ratio Historical Data,FMC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,64.58,,20.2
2024-06-30,57.55,$3.20,18.0
2024-03-31,63.06,$1.64,38.34
2023-12-31,61.85,$-4.10,0.0
2023-09-30,65.1,$-1.23,0.0
2023-06-30,100.54,$1.37,73.48
2023-03-31,117.03,$1.85,63.36
2022-12-31,119.02,$3.87,30.74
2022-09-30,100.34,$3.16,31.78
2022-06-30,101.08,$2.65,38.2
2022-03-31,123.67,$3.05,40.57
2021-12-31,102.88,$5.73,17.96
2021-09-30,85.31,$4.49,19.01
2021-06-30,100.29,$4.66,21.53
2021-03-31,102.08,$4.80,21.25
2020-12-31,105.61,$4.68,22.55
2020-09-30,96.91,$4.63,20.95
2020-06-30,90.78,$3.88,23.41
2020-03-31,74.1,$2.38,31.11
2019-12-31,90.07,$2.99,30.13
2019-09-30,78.77,$-0.61,0.0
2019-06-30,74.17,$-0.87,0.0
2019-03-31,68.36,$0.76,90.27
2018-12-31,65.82,$2.10,31.34
2018-09-30,77.16,$2.82,27.32
2018-06-30,78.81,$1.64,48.03
2018-03-31,67.52,$1.85,36.58
2017-12-31,83.28,$2.21,37.62
2017-09-30,78.44,$2.79,28.15
2017-06-30,64.04,$3.43,18.67
2017-03-31,60.87,$2.23,27.24
2016-12-31,49.34,$3.04,16.25
2016-09-30,42.05,$2.22,18.9
2016-06-30,40.15,$0.07,585.22
2016-03-31,34.87,$-0.08,0.0
2015-12-31,33.66,$-3.06,0.0
2015-09-30,29.05,$-1.96,0.0
2015-06-30,44.8,$-0.43,0.0
2015-03-31,48.65,$0.12,402.08
2014-12-31,48.32,$1.43,33.85
2014-09-30,48.33,$0.25,192.49
2014-06-30,60.01,$0.24,247.98
2014-03-31,64.4,$0.64,101.04
2013-12-31,63.35,$1.23,51.32
2013-09-30,60.11,$1.13,53.05
2013-06-30,51.08,$1.23,41.64
2013-03-31,47.6,$0.93,51.28
2012-12-31,48.73,$1.33,36.52
2012-09-30,46.01,$1.94,23.7
2012-06-30,44.36,$2.27,19.54
2012-03-31,43.82,$2.01,21.82
2011-12-31,35.56,$1.57,22.58
2011-09-30,28.53,$1.41,20.24
2011-06-30,35.41,$1.08,32.66
2011-03-31,34.9,$1.10,31.66
2010-12-31,32.77,$1.47,22.3
2010-09-30,28.02,$1.32,21.25
2010-06-30,23.48,$1.30,18.0
2010-03-31,24.7,$0.83,29.78
2009-12-31,22.7,$0.98,23.08
