Walgreens Price to Free Cash Flow Ratio Historical Data,Walgreens Price to Free Cash Flow Ratio Historical Data,Walgreens Price to Free Cash Flow Ratio Historical Data,Walgreens Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,9.25,,80.93
2024-05-31,15.84,$0.11,138.57
2024-02-29,20.47,$-0.25,0.0
2023-11-30,18.99,$1.46,13.05
2023-08-31,23.54,$2.21,10.65
2023-05-31,27.74,$1.42,19.57
2023-02-28,31.97,$3.19,10.03
2022-11-30,36.86,$3.37,10.93
2022-08-31,30.77,$4.01,7.67
2022-05-31,37.99,$5.14,7.4
2022-02-28,39.49,$5.20,7.59
2021-11-30,38.0,$5.63,6.74
2021-08-31,42.63,$5.81,7.34
2021-05-31,43.8,$6.65,6.58
2021-02-28,39.52,$5.78,6.84
2020-11-30,31.05,$5.72,5.43
2020-08-31,30.68,$5.49,5.59
2020-05-31,34.26,$5.48,6.26
2020-02-29,36.09,$6.17,5.85
2019-11-30,46.6,$5.15,9.05
2019-08-31,39.73,$4.22,9.42
2019-05-31,37.95,$4.61,8.24
2019-02-28,54.3,$4.81,11.29
2018-11-30,64.19,$6.30,10.19
2018-08-31,51.7,$6.93,7.46
2018-05-31,46.76,$5.97,7.83
2018-02-28,51.32,$5.32,9.64
2017-11-30,53.89,$5.97,9.03
2017-08-31,60.02,$5.89,10.2
2017-05-31,59.37,$6.44,9.22
2017-02-28,63.02,$6.86,9.18
2016-11-30,61.54,$6.16,9.99
2016-08-31,58.36,$6.03,9.67
2016-05-31,55.71,$5.25,10.61
2016-02-29,56.56,$5.16,10.97
2015-11-30,59.93,$4.38,13.67
2015-08-31,61.45,$5.01,12.27
2015-05-31,60.71,$4.82,12.61
2015-02-28,58.53,$4.43,13.23
2014-11-30,48.13,$4.23,11.38
2014-08-31,42.24,$2.96,14.29
2014-05-31,49.92,$2.85,17.55
2014-02-28,46.96,$2.75,17.09
2013-11-30,40.69,$2.84,14.35
2013-08-31,32.87,$3.35,9.8
2013-05-31,32.45,$2.72,11.95
2013-02-28,27.66,$1.92,14.39
2012-11-30,22.76,$0.75,30.25
2012-08-31,23.8,$1.57,15.17
2012-05-31,20.16,$2.01,10.05
2011-08-31,22.78,$2.63,8.67
2011-05-31,28.05,$4.31,6.5
2011-02-28,27.76,$2.40,11.58
2010-11-30,22.23,$2.46,9.05
2010-08-31,17.06,$1.89,9.01
2012-02-29,21.75,$1.25,17.41
2010-05-31,20.21,$2.50,8.08
2010-02-28,22.14,$2.78,7.97
2009-11-30,24.34,$2.63,9.25
2009-08-31,21.13,$2.20,9.59
