Norwegian Cruise Line Holdings Price to Free Cash Flow Ratio Historical Data,Norwegian Cruise Line Holdings Price to Free Cash Flow Ratio Historical Data,Norwegian Cruise Line Holdings Price to Free Cash Flow Ratio Historical Data,Norwegian Cruise Line Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,17.89,,0.0
2024-06-30,18.79,$-1.25,0.0
2024-03-31,20.93,$-1.10,0.0
2023-12-31,20.04,$-1.74,0.0
2023-09-30,16.48,$-0.51,0.0
2023-06-30,21.77,$-1.49,0.0
2023-03-31,13.45,$5.69,2.36
2022-12-31,12.24,$3.53,3.47
2022-09-30,11.36,$0.91,12.48
2022-06-30,11.12,$1.96,5.67
2021-12-31,20.74,$-8.81,0.0
2021-09-30,26.71,$-19.74,0.0
2021-06-30,29.41,$-18.59,0.0
2021-03-31,27.59,$-18.46,0.0
2020-12-31,25.43,$-20.93,0.0
2022-03-31,21.88,$-11.57,0.0
2020-09-30,17.11,$-13.29,0.0
2020-06-30,16.43,$-10.62,0.0
2020-03-31,10.96,$-3.68,0.0
2019-12-31,58.41,$0.86,68.19
2019-09-30,51.77,$4.51,11.47
2019-06-30,53.63,$5.15,10.42
2019-03-31,54.96,$1.66,33.15
2018-12-31,42.39,$2.27,18.71
2018-09-30,57.43,$1.61,35.76
2018-06-30,47.25,$1.64,28.74
2018-03-31,52.97,$1.65,32.15
2017-12-31,53.25,$1.00,53.34
2017-09-30,54.05,$1.00,54.22
2017-06-30,54.29,$0.19,280.42
2017-03-31,50.73,$1.27,39.81
2016-12-31,42.53,$0.75,56.34
2016-09-30,37.7,$-2.38,0.0
2016-06-30,39.84,$-2.62,0.0
2016-03-31,55.29,$-0.56,0.0
2015-12-31,58.6,$-0.35,0.0
2015-09-30,57.3,$2.03,28.29
2015-06-30,56.04,$1.92,29.12
2015-03-31,54.01,$1.98,27.26
2014-12-31,46.76,$-1.55,0.0
2014-09-30,36.02,$-0.63,0.0
2014-06-30,31.7,$-0.72,0.0
2014-03-31,32.27,$-4.36,0.0
2013-12-31,35.47,$-1.92,0.0
