Sempra Energy Price to Free Cash Flow Ratio Historical Data,Sempra Energy Price to Free Cash Flow Ratio Historical Data,Sempra Energy Price to Free Cash Flow Ratio Historical Data,Sempra Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,82.18,,0.0
2024-06-30,76.06,$-4.64,0.0
2024-03-31,71.25,$-3.81,0.0
2023-12-31,73.47,$-3.44,0.0
2023-09-30,66.33,$-4.86,0.0
2023-06-30,69.8,$-7.53,0.0
2023-03-31,72.47,$-7.06,0.0
2022-12-31,73.49,$-6.66,0.0
2022-09-30,70.78,$-4.13,0.0
2022-06-30,69.9,$-1.53,0.0
2022-03-31,78.21,$-1.70,0.0
2021-12-31,61.1,$-1.81,0.0
2021-09-30,57.93,$-1.65,0.0
2021-06-30,59.67,$-1.83,0.0
2021-03-31,59.71,$-3.51,0.0
2020-12-31,56.9,$-3.53,0.0
2020-09-30,52.44,$-3.09,0.0
2020-06-30,51.47,$-3.20,0.0
2020-03-31,49.17,$0.10,490.28
2019-12-31,65.24,$0.49,131.91
2019-09-30,63.17,$3.59,17.61
2019-06-30,58.01,$4.88,11.88
2019-03-31,53.12,$3.79,14.0
2018-12-31,45.32,$2.88,15.76
2018-09-30,47.25,$0.21,229.71
2018-06-30,47.86,$-0.60,0.0
2018-03-31,45.49,$-0.18,0.0
2017-12-31,43.38,$-0.13,0.0
2017-09-30,45.95,$-1.34,0.0
2017-06-30,44.75,$-0.81,0.0
2017-03-31,43.85,$-1.56,0.0
2016-12-31,39.65,$-2.27,0.0
2016-09-30,41.91,$-1.45,0.0
2016-06-30,44.28,$-1.25,0.0
2016-03-31,40.13,$-0.52,0.0
2015-12-31,35.99,$0.23,157.04
2015-09-30,36.77,$0.11,339.16
2015-06-30,37.33,$-0.47,0.0
2015-03-31,40.84,$-1.77,0.0
2014-12-31,41.45,$-1.62,0.0
2014-09-30,38.99,$-0.84,0.0
2014-06-30,38.5,$-1.34,0.0
2014-03-31,35.35,$-0.85,0.0
2013-12-31,32.57,$-0.44,0.0
2013-09-30,30.84,$-1.54,0.0
2013-06-30,29.25,$-1.06,0.0
2013-03-31,28.38,$-0.91,0.0
2012-12-31,24.99,$-1.75,0.0
2012-09-30,22.53,$-2.34,0.0
2012-06-30,23.84,$-2.58,0.0
2012-03-31,20.56,$-2.66,0.0
2011-12-31,18.67,$-2.02,0.0
2011-09-30,17.33,$-0.50,0.0
2011-06-30,17.62,$-0.32,0.0
2011-03-31,17.67,$0.32,54.67
2010-12-31,17.17,$0.80,21.55
2010-09-30,17.47,$-0.61,0.0
2010-06-30,15.08,$-0.33,0.0
2010-03-31,15.96,$-0.15,0.0
2009-12-31,17.77,$0.29,61.91
