AstraZeneca Price to Free Cash Flow Ratio Historical Data,AstraZeneca Price to Free Cash Flow Ratio Historical Data,AstraZeneca Price to Free Cash Flow Ratio Historical Data,AstraZeneca Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,87.62,,28.87
2024-06-30,77.51,$3.04,25.54
2024-03-31,67.34,$2.63,25.57
2023-12-31,65.93,$2.92,22.59
2023-09-30,66.29,$3.06,21.66
2023-06-30,69.6,$3.03,22.97
2023-03-31,67.5,$2.88,23.4
2022-12-31,64.98,$2.88,22.53
2022-09-30,52.56,$2.60,20.24
2022-06-30,62.87,$2.12,29.72
2022-03-31,63.13,$2.03,31.17
2021-12-31,54.51,$1.71,31.84
2021-09-30,56.2,$1.83,30.76
2021-06-30,55.61,$2.05,27.14
2021-03-31,46.16,$2.17,21.26
2020-12-31,45.53,$1.50,30.31
2020-09-30,49.91,$1.35,36.93
2020-06-30,47.78,$1.08,44.16
2020-03-31,40.35,$0.97,41.54
2019-12-31,44.12,$0.78,56.63
2019-09-30,39.44,$1.12,35.16
2019-06-30,36.16,$0.87,41.39
2019-03-31,35.41,$0.55,63.85
2018-12-31,32.52,$0.63,51.93
2018-09-30,33.88,$0.09,382.88
2018-06-30,29.73,$0.77,38.79
2018-03-31,29.61,$0.86,34.5
2017-12-31,28.58,$0.92,30.99
2017-09-30,27.91,$1.28,21.74
2017-06-30,27.66,$0.72,38.3
2017-03-31,25.26,$0.66,38.46
2016-12-31,21.46,$1.10,19.54
2016-09-30,25.81,$0.58,44.51
2016-06-30,23.4,$0.91,25.58
2016-03-31,21.83,$1.29,16.93
2015-12-31,25.51,$0.81,31.59
2015-09-30,23.91,$1.33,17.99
2015-06-30,23.61,$1.47,16.09
2015-03-31,25.36,$1.92,13.22
2014-12-31,25.37,$2.45,10.34
2014-09-30,25.76,$2.72,9.49
2014-06-30,26.44,$2.44,10.85
2014-03-31,23.09,$2.27,10.19
2013-12-31,20.53,$2.68,7.66
2013-09-30,17.96,$2.87,6.26
2013-06-30,16.07,$2.94,5.46
2013-03-31,16.98,$2.80,6.07
2012-12-31,15.42,$2.56,6.02
2012-09-30,15.61,$2.67,5.85
2012-06-30,14.33,$2.85,5.03
2012-03-31,14.24,$2.67,5.34
2011-12-31,14.21,$2.69,5.28
2011-09-30,13.61,$2.73,4.99
2011-06-30,15.08,$3.07,4.91
2011-03-31,13.89,$3.57,3.89
2010-12-31,13.39,$3.50,3.83
2010-09-30,14.7,$3.76,3.91
2010-06-30,13.48,$3.36,4.01
2010-03-31,12.79,$3.60,3.56
2009-12-31,12.93,$3.75,3.45
