Estee Lauder Price to Free Cash Flow Ratio Historical Data,Estee Lauder Price to Free Cash Flow Ratio Historical Data,Estee Lauder Price to Free Cash Flow Ratio Historical Data,Estee Lauder Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,91.66,,22.95
2024-06-30,105.64,$3.99,26.45
2024-03-31,153.05,$3.14,48.77
2023-12-31,144.56,$2.23,64.68
2023-09-30,142.13,$2.29,62.17
2023-06-30,192.32,$2.02,95.34
2023-03-31,240.53,$2.89,83.35
2022-12-31,241.48,$2.61,92.43
2022-09-30,209.49,$-4.87,0.0
2022-06-30,246.54,$-1.00,0.0
2022-03-31,263.0,$-1.09,0.0
2021-12-31,356.81,$3.13,113.98
2021-06-30,305.56,$8.13,37.58
2021-03-31,278.92,$11.77,23.69
2020-12-31,254.8,$9.21,27.66
2020-09-30,208.47,$6.65,31.36
2020-06-30,179.83,$9.42,19.1
2021-09-30,288.57,$3.32,86.84
2020-03-31,151.87,$5.32,28.54
2019-12-31,196.34,$4.77,41.17
2019-09-30,188.66,$4.19,45.03
2019-06-30,173.28,$4.79,36.16
2019-03-31,156.25,$4.58,34.08
2018-12-31,122.46,$4.67,26.22
2018-09-30,136.78,$5.04,27.15
2018-06-30,133.94,$5.15,26.03
2018-03-31,140.19,$5.06,27.68
2017-12-31,118.82,$4.92,24.14
2017-09-30,100.39,$3.99,25.18
2017-06-30,89.07,$3.48,25.59
2017-03-31,78.4,$3.94,19.91
2016-12-31,70.44,$5.26,13.4
2016-09-30,81.2,$2.76,29.43
2016-06-30,83.18,$4.29,19.37
2015-12-31,79.96,$3.69,21.68
2015-09-30,73.0,$0.98,74.46
2015-06-30,78.17,$3.69,21.21
2015-03-31,74.81,$2.87,26.04
2014-12-31,68.35,$2.59,26.41
2016-03-31,85.91,$3.79,22.66
2014-09-30,66.81,$2.88,23.24
2014-06-30,66.22,$2.61,25.4
2014-03-31,59.48,$2.45,24.28
2013-12-31,66.79,$2.23,29.97
2013-09-30,61.82,$2.35,26.26
2013-06-30,58.01,$1.94,29.93
2013-03-31,56.33,$1.87,30.2
2012-12-31,52.51,$1.83,28.65
2012-09-30,53.35,$1.51,35.25
2012-06-30,46.89,$1.78,26.37
2012-03-31,53.67,$1.94,27.64
2011-12-31,48.66,$1.86,26.15
2011-09-30,37.69,$1.63,23.14
2011-06-30,45.13,$1.68,26.87
2011-03-31,41.34,$1.38,30.01
2010-12-31,34.62,$1.33,25.96
2010-09-30,26.86,$1.58,17.06
2010-06-30,23.68,$1.71,13.86
2010-03-31,27.56,$2.40,11.48
2009-12-31,20.55,$2.33,8.81
