Baxter Price to Free Cash Flow Ratio Historical Data,Baxter Price to Free Cash Flow Ratio Historical Data,Baxter Price to Free Cash Flow Ratio Historical Data,Baxter Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,37.94,,37.05
2024-06-30,33.2,$1.02,32.42
2024-03-31,42.42,$1.40,30.38
2023-12-31,38.1,$2.04,18.64
2023-09-30,36.89,$1.87,19.71
2023-06-30,44.22,$1.76,25.11
2023-03-31,39.09,$1.66,23.54
2022-12-31,48.78,$1.17,41.6
2022-09-30,51.26,$1.66,30.9
2022-06-30,60.82,$2.39,25.49
2022-03-31,73.14,$2.74,26.65
2021-12-31,80.7,$3.01,26.78
2021-09-30,75.34,$2.94,25.63
2021-06-30,75.14,$2.63,28.52
2021-03-31,78.46,$2.45,32.01
2020-12-31,74.41,$2.24,33.19
2020-09-30,74.34,$2.55,29.12
2020-06-30,79.36,$2.90,27.4
2020-03-31,74.63,$3.03,24.62
2019-12-31,76.67,$2.71,28.26
2019-09-30,79.98,$2.40,33.3
2019-06-30,74.7,$1.95,38.25
2019-03-31,73.95,$1.83,40.35
2018-12-31,59.71,$2.49,24.01
2018-09-30,69.74,$1.91,36.61
2018-06-30,66.63,$2.18,30.62
2018-03-31,58.53,$2.39,24.51
2017-12-31,58.03,$1.98,29.33
2017-09-30,56.2,$2.57,21.87
2017-06-30,54.08,$2.38,22.68
2017-03-31,46.2,$2.75,16.78
2016-12-31,39.4,$1.70,23.22
2016-09-30,42.17,$1.62,26.02
2016-06-30,39.95,$1.00,40.1
2016-03-31,36.19,$0.84,42.96
2015-12-31,33.51,$1.56,21.43
2015-09-30,28.77,$2.25,12.8
2015-06-30,33.01,$4.28,7.71
2015-03-31,32.08,$3.72,8.63
2014-12-31,34.07,$4.19,8.14
2014-09-30,33.13,$5.23,6.33
2014-06-30,33.14,$4.19,7.91
2014-03-31,33.49,$4.63,7.23
2013-12-31,31.43,$4.55,6.91
2013-09-30,29.46,$2.93,10.07
2013-06-30,30.85,$2.78,11.1
2013-03-31,32.13,$0.43,75.06
2012-12-31,29.29,$1.25,23.38
2012-09-30,26.3,$1.50,17.54
2012-06-30,23.02,$1.35,17.05
2011-12-31,21.16,$3.24,6.53
2011-09-30,23.85,$5.31,4.49
2011-06-30,25.22,$4.47,5.64
2011-03-31,22.6,$5.07,4.46
2010-12-31,21.15,$5.69,3.72
2012-03-31,25.72,$2.70,9.52
2010-09-30,19.81,$3.31,5.98
2010-06-30,16.76,$3.00,5.58
2010-03-31,23.84,$3.06,7.79
2009-12-31,23.91,$3.09,7.75
