KLA Price to Free Cash Flow Ratio Historical Data,KLA Price to Free Cash Flow Ratio Historical Data,KLA Price to Free Cash Flow Ratio Historical Data,KLA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,819.43,,36.75
2024-06-30,823.08,$22.29,36.92
2024-03-31,695.98,$22.30,31.21
2023-12-31,577.86,$23.05,25.07
2023-09-30,454.74,$23.19,19.61
2023-06-30,479.6,$24.27,19.76
2023-03-31,393.39,$23.27,16.91
2022-12-31,370.35,$21.15,17.51
2022-09-30,296.25,$21.86,13.55
2022-06-30,311.29,$20.01,15.55
2022-03-31,356.01,$17.57,20.27
2021-12-31,417.12,$16.63,25.08
2021-09-30,323.59,$14.95,21.65
2021-06-30,312.62,$12.69,24.64
2021-03-31,317.65,$12.63,25.16
2020-12-31,248.24,$11.32,21.94
2020-09-30,185.05,$10.32,17.93
2020-06-30,184.97,$10.29,17.97
2020-03-31,136.02,$9.46,14.38
2019-12-31,167.75,$7.63,21.98
2019-09-30,149.41,$2.02,73.84
2019-06-30,110.13,$1.35,81.55
2019-03-31,110.5,$1.76,62.74
2018-12-31,82.23,$1.76,46.7
2018-06-30,92.87,$7.38,12.58
2018-03-31,98.09,$9.49,10.33
2017-12-31,94.03,$9.66,9.74
2017-09-30,94.31,$10.25,9.2
2017-06-30,80.89,$9.36,8.64
2018-09-30,92.73,$6.05,15.32
2017-03-31,83.59,$5.98,13.99
2016-12-31,68.75,$5.29,13.0
2016-09-30,60.48,$4.53,13.36
2016-06-30,63.06,$4.69,13.45
2016-03-31,62.21,$4.34,14.34
2015-12-31,58.77,$5.10,11.53
2015-09-30,42.03,$4.47,9.4
2015-06-30,46.79,$3.42,13.67
2015-03-31,48.12,$2.97,16.21
2014-12-31,57.6,$2.85,20.21
2014-09-30,51.5,$3.46,14.88
2014-06-30,47.16,$4.25,11.09
2014-03-31,44.57,$3.76,11.87
2013-12-31,41.26,$4.79,8.61
2013-09-30,38.68,$4.56,8.48
2013-06-30,35.15,$4.97,7.08
2013-03-31,33.02,$5.55,5.95
2012-12-31,29.69,$4.65,6.38
2012-09-30,29.39,$5.32,5.53
2012-06-30,30.12,$5.21,5.78
2012-03-31,33.05,$5.33,6.2
2011-12-31,29.1,$5.21,5.58
2011-09-30,22.91,$5.36,4.27
2011-06-30,23.99,$4.64,5.17
2011-03-31,27.89,$3.46,8.07
2010-12-31,22.66,$2.81,8.05
2010-09-30,20.52,$2.54,8.08
2010-06-30,16.1,$2.45,6.58
2010-03-31,17.78,$2.41,7.36
2009-12-31,20.68,$2.46,8.41
