Insulet Price to Free Cash Flow Ratio Historical Data,Insulet Price to Free Cash Flow Ratio Historical Data,Insulet Price to Free Cash Flow Ratio Historical Data,Insulet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,202.77,,78.55
2024-06-30,201.8,$2.58,78.18
2024-03-31,171.4,$1.98,86.44
2023-12-31,216.98,$0.95,227.92
2023-09-30,159.49,$0.54,295.79
2023-06-30,288.34,$0.43,666.07
2023-03-31,318.96,$0.18,1764.16
2022-12-31,294.39,$-0.06,0.0
2022-09-30,229.4,$-0.72,0.0
2022-06-30,217.94,$-1.81,0.0
2022-03-31,266.39,$-1.98,0.0
2021-12-31,266.07,$-2.62,0.0
2021-09-30,284.23,$-2.28,0.0
2021-06-30,274.51,$-1.29,0.0
2021-03-31,260.92,$-1.23,0.0
2020-12-31,255.63,$-0.68,0.0
2020-09-30,236.59,$-0.20,0.0
2020-06-30,194.26,$-0.33,0.0
2020-03-31,165.68,$-0.91,0.0
2019-12-31,171.2,$-1.05,0.0
2019-09-30,164.93,$-1.05,0.0
2019-06-30,119.38,$-1.49,0.0
2019-03-31,95.09,$-1.93,0.0
2018-12-31,79.32,$-1.99,0.0
2018-09-30,105.95,$-2.02,0.0
2018-06-30,85.7,$-1.49,0.0
2018-03-31,86.68,$-0.41,0.0
2017-12-31,69.0,$-0.56,0.0
2017-09-30,55.08,$-0.19,0.0
2017-06-30,51.31,$-0.63,0.0
2017-03-31,43.09,$-0.69,0.0
2016-12-31,37.68,$-0.11,0.0
2016-09-30,40.94,$-0.80,0.0
2016-06-30,30.24,$-0.50,0.0
2016-03-31,33.16,$-0.51,0.0
2015-12-31,37.81,$-0.41,0.0
2015-09-30,25.91,$0.02,1599.38
2015-06-30,30.99,$-0.06,0.0
2015-03-31,33.35,$-0.13,0.0
2014-12-31,46.06,$-0.05,0.0
2014-09-30,36.85,$-0.20,0.0
2014-06-30,39.67,$-0.20,0.0
2014-03-31,47.42,$-0.09,0.0
2013-12-31,37.1,$-0.07,0.0
2013-09-30,36.24,$-0.12,0.0
2013-06-30,31.41,$-0.32,0.0
2013-03-31,25.86,$-0.66,0.0
2012-12-31,21.22,$-0.84,0.0
2012-09-30,21.58,$-0.90,0.0
2012-06-30,21.37,$-0.81,0.0
2012-03-31,19.14,$-0.77,0.0
2011-12-31,18.83,$-0.78,0.0
2011-09-30,15.26,$-0.84,0.0
2011-06-30,22.17,$-1.10,0.0
2011-03-31,20.62,$-1.03,0.0
2010-12-31,15.5,$-1.06,0.0
2010-09-30,14.14,$-1.07,0.0
2010-06-30,15.05,$-1.16,0.0
2010-03-31,15.09,$-1.56,0.0
2009-12-31,14.28,$-1.76,0.0
