Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data,Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data,Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data,Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,73.99,,50.38
2024-06-30,71.57,$1.47,48.74
2024-03-31,70.25,$1.56,45.04
2023-12-31,76.91,$1.40,54.94
2023-09-30,67.76,$1.33,50.89
2023-06-30,81.17,$1.34,60.78
2023-03-31,73.7,$1.43,51.54
2022-12-31,82.25,$1.55,53.12
2022-09-30,70.39,$1.74,40.5
2022-06-30,85.84,$1.71,50.25
2022-03-31,107.15,$1.86,57.72
2021-12-31,127.91,$1.88,67.9
2021-09-30,119.73,$1.81,65.99
2021-06-30,111.18,$1.90,58.48
2021-03-31,94.23,$1.39,67.96
2020-12-31,78.28,$1.26,62.31
2020-09-30,61.01,$0.31,194.47
2020-06-30,64.95,$0.25,256.12
2020-03-31,46.58,$0.30,154.82
2019-12-31,53.84,$0.32,170.55
2019-06-30,50.98,$1.00,50.77
2019-03-31,48.47,$1.51,32.08
2018-12-31,35.27,$1.48,23.83
2018-09-30,49.65,$1.33,37.47
2018-06-30,35.92,$1.31,27.36
2019-09-30,47.92,$0.78,61.14
2018-03-31,36.6,$0.89,41.01
2017-12-31,31.32,$0.92,34.19
2017-09-30,29.15,$0.96,30.38
2017-06-30,28.26,$0.86,32.98
2017-03-31,24.37,$0.78,31.18
2016-12-31,24.58,$0.87,28.2
2016-09-30,26.1,$0.84,31.12
2016-06-30,26.79,$0.85,31.44
2016-03-31,22.39,$0.83,26.93
2015-12-31,21.24,$0.77,27.43
2015-09-30,21.74,$0.77,28.34
2015-06-30,23.08,$0.80,28.78
2015-03-31,23.43,$0.84,27.85
2014-12-31,21.52,$0.88,24.58
2014-09-30,21.71,$0.84,25.74
2014-06-30,21.41,$0.83,25.78
2014-03-31,19.68,$0.75,26.07
2013-12-31,21.75,$0.73,29.84
2013-09-30,18.32,$0.70,26.23
2013-06-30,15.75,$0.69,22.99
2013-03-31,15.4,$0.76,20.21
2012-12-31,15.44,$0.80,19.19
2012-09-30,16.19,$0.77,20.95
2012-06-30,16.63,$0.82,20.39
2012-03-31,15.64,$0.80,19.64
2011-12-31,15.17,$0.79,19.29
2011-09-30,15.06,$0.86,17.6
2011-06-30,18.38,$0.83,22.12
2011-03-31,15.73,$0.81,19.38
2010-12-31,14.37,$0.74,19.31
2010-09-30,13.45,$0.73,18.44
2010-06-30,12.47,$0.71,17.47
2010-03-31,13.74,$0.68,20.2
2009-12-31,14.75,$1.05,14.01
